Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	1.500000	i	1.111000	d	0.100000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	17.360001	error	33.639999	ønsked vinkel	51	shardpwm	71	tid delat	0.567209
vinkel	0.280000	error	50.720000	ønsked vinkel	51	shardpwm	255	tid delat	0.000008
vinkel	34.000000	error	17.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000003
vinkel	17.330000	error	33.670000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	24.160000	error	26.840000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000002
vinkel	7.340000	error	43.660000	ønsked vinkel	51	shardpwm	255	tid delat	0.000002
vinkel	28.000000	error	23.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000002
vinkel	6.000000	error	45.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000002
vinkel	17.350000	error	33.650000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000002
vinkel	4.400000	error	46.600000	ønsked vinkel	51	shardpwm	255	tid delat	0.000002
vinkel	0.360000	error	50.640000	ønsked vinkel	51	shardpwm	255	tid delat	0.000002
vinkel	5.000000	error	46.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000002
:(vinkel	17.360001	error	33.639999	ønsked vinkel	51	shardpwm	-255	tid delat	0.000003
vinkel	0.160000	error	50.840000	ønsked vinkel	51	shardpwm	255	tid delat	0.000002
vinkel	38.000000	error	13.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000046
vinkel	17.379999	error	33.620001	ønsked vinkel	51	shardpwm	255	tid delat	0.005777
vinkel	17.389999	error	33.610001	ønsked vinkel	51	shardpwm	70	tid delat	0.001006
vinkel	17.350000	error	36.650000	ønsked vinkel	54	shardpwm	255	tid delat	0.000998
vinkel	17.280001	error	36.719999	ønsked vinkel	54	shardpwm	77	tid delat	0.006013
vinkel	17.320000	error	36.680000	ønsked vinkel	54	shardpwm	72	tid delat	0.000998
vinkel	17.309999	error	36.690001	ønsked vinkel	54	shardpwm	77	tid delat	0.001014
vinkel	17.280001	error	36.719999	ønsked vinkel	54	shardpwm	77	tid delat	0.005975
vinkel	17.340000	error	36.660000	ønsked vinkel	54	shardpwm	71	tid delat	0.000996
vinkel	17.340000	error	36.660000	ønsked vinkel	54	shardpwm	77	tid delat	0.001008
vinkel	17.350000	error	36.650000	ønsked vinkel	54	shardpwm	77	tid delat	0.006997
vinkel	17.230000	error	36.770000	ønsked vinkel	54	shardpwm	89	tid delat	0.001005
vinkel	17.240000	error	36.760000	ønsked vinkel	54	shardpwm	76	tid delat	0.001025
vinkel	17.230000	error	36.770000	ønsked vinkel	54	shardpwm	78	tid delat	0.005974
vinkel	17.280001	error	36.719999	ønsked vinkel	54	shardpwm	72	tid delat	0.000997
vinkel	17.270000	error	36.730000	ønsked vinkel	54	shardpwm	78	tid delat	0.001015
vinkel	17.260000	error	36.740000	ønsked vinkel	54	shardpwm	78	tid delat	0.005982
vinkel	17.250000	error	36.750000	ønsked vinkel	54	shardpwm	79	tid delat	0.001007
vinkel	17.180000	error	36.820000	ønsked vinkel	54	shardpwm	85	tid delat	0.000999
vinkel	17.290001	error	36.709999	ønsked vinkel	54	shardpwm	76	tid delat	0.006035
vinkel	17.440001	error	36.559999	ønsked vinkel	54	shardpwm	62	tid delat	0.000965
vinkel	17.430000	error	36.570000	ønsked vinkel	54	shardpwm	79	tid delat	0.000993
vinkel	17.420000	error	36.580000	ønsked vinkel	54	shardpwm	78	tid delat	0.006000
vinkel	17.360001	error	36.639999	ønsked vinkel	54	shardpwm	84	tid delat	0.001004
vinkel	17.410000	error	36.590000	ønsked vinkel	54	shardpwm	73	tid delat	0.000999
vinkel	17.490000	error	36.510000	ønsked vinkel	54	shardpwm	77	tid delat	0.005992
vinkel	17.500000	error	36.500000	ønsked vinkel	54	shardpwm	77	tid delat	0.001015
vinkel	17.490000	error	36.510000	ønsked vinkel	54	shardpwm	79	tid delat	0.000994
vinkel	17.520000	error	36.480000	ønsked vinkel	54	shardpwm	78	tid delat	0.006002
vinkel	17.610001	error	36.389999	ønsked vinkel	54	shardpwm	70	tid delat	0.001008
vinkel	17.629999	error	36.370001	ønsked vinkel	54	shardpwm	77	tid delat	0.000991
vinkel	17.639999	error	36.360001	ønsked vinkel	54	shardpwm	79	tid delat	0.005995
vinkel	17.650000	error	36.350000	ønsked vinkel	54	shardpwm	78	tid delat	0.001020
vinkel	17.690001	error	36.309999	ønsked vinkel	54	shardpwm	75	tid delat	0.000983
vinkel	17.590000	error	36.410000	ønsked vinkel	54	shardpwm	81	tid delat	0.006010
vinkel	17.780001	error	36.219999	ønsked vinkel	54	shardpwm	60	tid delat	0.000999
vinkel	17.809999	error	36.190001	ønsked vinkel	54	shardpwm	76	tid delat	0.000988
vinkel	17.870001	error	36.129999	ønsked vinkel	54	shardpwm	78	tid delat	0.005997
vinkel	18.270000	error	35.730000	ønsked vinkel	54	shardpwm	39	tid delat	0.001009
vinkel	18.340000	error	35.660000	ønsked vinkel	54	shardpwm	71	tid delat	0.000993
vinkel	18.500000	error	39.500000	ønsked vinkel	58	shardpwm	148	tid delat	0.006010
vinkel	18.360001	error	39.639999	ønsked vinkel	58	shardpwm	99	tid delat	0.000996
vinkel	18.459999	error	39.540001	ønsked vinkel	58	shardpwm	75	tid delat	0.001004
vinkel	18.580000	error	39.420000	ønsked vinkel	58	shardpwm	83	tid delat	0.006004
vinkel	19.270000	error	38.730000	ønsked vinkel	58	shardpwm	14	tid delat	0.000995
vinkel	19.350000	error	38.650000	ønsked vinkel	58	shardpwm	76	tid delat	0.001040
vinkel	19.480000	error	38.520000	ønsked vinkel	58	shardpwm	81	tid delat	0.005962
vinkel	20.110001	error	37.889999	ønsked vinkel	58	shardpwm	19	tid delat	0.000995
vinkel	20.260000	error	37.740000	ønsked vinkel	58	shardpwm	68	tid delat	0.001011
vinkel	20.549999	error	37.450001	ønsked vinkel	58	shardpwm	78	tid delat	0.005995
vinkel	21.299999	error	36.700001	ønsked vinkel	58	shardpwm	6	tid delat	0.000993
vinkel	21.469999	error	36.530001	ønsked vinkel	58	shardpwm	64	tid delat	0.001006
vinkel	21.620001	error	36.379999	ønsked vinkel	58	shardpwm	78	tid delat	0.004990
vinkel	22.480000	error	35.520000	ønsked vinkel	58	shardpwm	-4	tid delat	0.001012
vinkel	22.690001	error	35.309999	ønsked vinkel	58	shardpwm	58	tid delat	0.000993
vinkel	22.940001	error	35.059999	ønsked vinkel	58	shardpwm	75	tid delat	0.006015
vinkel	24.150000	error	33.850000	ønsked vinkel	58	shardpwm	-44	tid delat	0.000988
vinkel	24.410000	error	33.590000	ønsked vinkel	58	shardpwm	51	tid delat	0.000994
vinkel	24.650000	error	33.350000	ønsked vinkel	58	shardpwm	73	tid delat	0.006003
vinkel	25.930000	error	32.070000	ønsked vinkel	58	shardpwm	-51	tid delat	0.001003
vinkel	26.230000	error	31.770000	ønsked vinkel	58	shardpwm	45	tid delat	0.000996
vinkel	26.459999	error	31.540001	ønsked vinkel	58	shardpwm	71	tid delat	0.006023
vinkel	27.900000	error	30.100000	ønsked vinkel	58	shardpwm	-73	tid delat	0.000983
vinkel	28.190001	error	29.809999	ønsked vinkel	58	shardpwm	43	tid delat	0.001001
vinkel	28.570000	error	29.430000	ønsked vinkel	58	shardpwm	65	tid delat	0.005989
vinkel	29.719999	error	28.280001	ønsked vinkel	58	shardpwm	-43	tid delat	0.001006
vinkel	29.969999	error	28.030001	ønsked vinkel	58	shardpwm	45	tid delat	0.001009
vinkel	30.230000	error	27.770000	ønsked vinkel	58	shardpwm	64	tid delat	0.004992
vinkel	31.280001	error	26.719999	ønsked vinkel	58	shardpwm	-36	tid delat	0.000997
vinkel	31.540001	error	26.459999	ønsked vinkel	58	shardpwm	42	tid delat	0.001032
vinkel	31.790001	error	26.209999	ønsked vinkel	58	shardpwm	63	tid delat	0.005980
vinkel	33.080002	error	24.919998	ønsked vinkel	58	shardpwm	-64	tid delat	0.000990
vinkel	33.349998	error	24.650002	ønsked vinkel	58	shardpwm	38	tid delat	0.001000
vinkel	33.590000	error	24.410000	ønsked vinkel	58	shardpwm	61	tid delat	0.006000
vinkel	34.830002	error	23.169998	ønsked vinkel	58	shardpwm	-59	tid delat	0.001004
vinkel	35.029999	error	22.970001	ønsked vinkel	58	shardpwm	43	tid delat	0.001020
vinkel	35.240002	error	22.759998	ønsked vinkel	58	shardpwm	59	tid delat	0.005979
vinkel	36.509998	error	21.490002	ønsked vinkel	58	shardpwm	-65	tid delat	0.001001
vinkel	36.830002	error	21.169998	ønsked vinkel	58	shardpwm	28	tid delat	0.000997
vinkel	37.200001	error	23.799999	ønsked vinkel	61	shardpwm	108	tid delat	0.005999
vinkel	38.540001	error	22.459999	ønsked vinkel	61	shardpwm	-71	tid delat	0.000996
vinkel	38.740002	error	22.259998	ønsked vinkel	61	shardpwm	42	tid delat	0.001005
vinkel	38.919998	error	22.080002	ønsked vinkel	61	shardpwm	59	tid delat	0.006006
vinkel	40.119999	error	20.880001	ønsked vinkel	61	shardpwm	-60	tid delat	0.000993
vinkel	40.330002	error	20.669998	ønsked vinkel	61	shardpwm	57	tid delat	0.005995
vinkel	41.639999	error	19.360001	ønsked vinkel	61	shardpwm	-71	tid delat	0.001007
vinkel	41.919998	error	19.080002	ønsked vinkel	61	shardpwm	30	tid delat	0.000994
vinkel	42.180000	error	18.820000	ønsked vinkel	61	shardpwm	53	tid delat	0.006032
vinkel	43.330002	error	17.669998	ønsked vinkel	61	shardpwm	-61	tid delat	0.000975
vinkel	43.580002	error	17.419998	ønsked vinkel	61	shardpwm	31	tid delat	0.001019
vinkel	43.810001	error	17.189999	ønsked vinkel	61	shardpwm	51	tid delat	0.005995
vinkel	44.950001	error	16.049999	ønsked vinkel	61	shardpwm	-60	tid delat	0.000999
vinkel	45.270000	error	15.730000	ønsked vinkel	61	shardpwm	21	tid delat	0.001007
vinkel	45.580002	error	15.419998	ønsked vinkel	61	shardpwm	46	tid delat	0.004973
vinkel	46.369999	error	14.630001	ønsked vinkel	61	shardpwm	-26	tid delat	0.001010
vinkel	46.610001	error	14.389999	ønsked vinkel	61	shardpwm	27	tid delat	0.000992
vinkel	46.810001	error	14.189999	ønsked vinkel	61	shardpwm	48	tid delat	0.005994
vinkel	47.689999	error	13.310001	ønsked vinkel	61	shardpwm	-37	tid delat	0.001004
