Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	1.900000	i	1.111000	d	0.200000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	3.170000	error	47.830000	ønsked vinkel	51	shardpwm	119	tid delat	0.530421
vinkel	0.200000	error	50.800000	ønsked vinkel	51	shardpwm	255	tid delat	0.000008
vinkel	9.850000	error	41.150000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000004
vinkel	3.190000	error	47.810000	ønsked vinkel	51	shardpwm	255	tid delat	0.000004
vinkel	19.000000	error	32.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000003
vinkel	1.000000	error	50.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	1.000000	error	50.000000	ønsked vinkel	51	shardpwm	123	tid delat	0.000003
vinkel	9.970000	error	41.030000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000003
vinkel	9.000000	error	42.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	3.180000	error	47.820000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	3.190000	error	47.810000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000003
vinkel	19.000000	error	32.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000003
vinkel	97.000000	error	-46.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000003
vinkel	3.190000	error	47.810000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	9.000000	error	42.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000003
vinkel	0.090000	error	50.910000	ønsked vinkel	51	shardpwm	255	tid delat	0.000043
vinkel	0.970000	error	50.030000	ønsked vinkel	51	shardpwm	87	tid delat	0.004849
vinkel	3.290000	error	47.710000	ønsked vinkel	51	shardpwm	-255	tid delat	0.001005
vinkel	3.250000	error	47.750000	ønsked vinkel	51	shardpwm	127	tid delat	0.000992
vinkel	3.260000	error	50.740000	ønsked vinkel	54	shardpwm	255	tid delat	0.001023
vinkel	3.250000	error	50.750000	ønsked vinkel	54	shardpwm	127	tid delat	0.001007
vinkel	3.250000	error	50.750000	ønsked vinkel	54	shardpwm	125	tid delat	0.000971
vinkel	3.260000	error	50.740000	ønsked vinkel	54	shardpwm	125	tid delat	0.008992
vinkel	3.270000	error	50.730000	ønsked vinkel	54	shardpwm	123	tid delat	0.001002
vinkel	3.270000	error	50.730000	ønsked vinkel	54	shardpwm	125	tid delat	0.000996
vinkel	3.270000	error	50.730000	ønsked vinkel	54	shardpwm	125	tid delat	0.001005
vinkel	3.270000	error	50.730000	ønsked vinkel	54	shardpwm	126	tid delat	0.008996
vinkel	3.210000	error	50.790000	ønsked vinkel	54	shardpwm	138	tid delat	0.001002
vinkel	3.210000	error	50.790000	ønsked vinkel	54	shardpwm	126	tid delat	0.001007
vinkel	3.210000	error	50.790000	ønsked vinkel	54	shardpwm	126	tid delat	0.000999
vinkel	3.220000	error	50.780000	ønsked vinkel	54	shardpwm	124	tid delat	0.001000
vinkel	3.210000	error	50.790000	ønsked vinkel	54	shardpwm	127	tid delat	0.008022
vinkel	3.340000	error	50.660000	ønsked vinkel	54	shardpwm	101	tid delat	0.001013
vinkel	3.400000	error	50.600000	ønsked vinkel	54	shardpwm	114	tid delat	0.000991
vinkel	3.340000	error	50.660000	ønsked vinkel	54	shardpwm	139	tid delat	0.000977
vinkel	3.320000	error	50.680000	ønsked vinkel	54	shardpwm	131	tid delat	0.000995
vinkel	3.330000	error	50.670000	ønsked vinkel	54	shardpwm	127	tid delat	0.009002
vinkel	3.250000	error	50.750000	ønsked vinkel	54	shardpwm	143	tid delat	0.001003
vinkel	3.250000	error	50.750000	ønsked vinkel	54	shardpwm	127	tid delat	0.001016
vinkel	3.220000	error	50.780000	ønsked vinkel	54	shardpwm	133	tid delat	0.001037
vinkel	3.260000	error	50.740000	ønsked vinkel	54	shardpwm	127	tid delat	0.007946
vinkel	3.580000	error	50.420000	ønsked vinkel	54	shardpwm	64	tid delat	0.001009
vinkel	3.650000	error	50.350000	ønsked vinkel	54	shardpwm	113	tid delat	0.000999
vinkel	3.700000	error	50.300000	ønsked vinkel	54	shardpwm	117	tid delat	0.000987
vinkel	3.780000	error	50.220000	ønsked vinkel	54	shardpwm	125	tid delat	0.008012
vinkel	4.390000	error	49.610000	ønsked vinkel	54	shardpwm	6	tid delat	0.001014
vinkel	4.510000	error	49.490000	ønsked vinkel	54	shardpwm	102	tid delat	0.001006
vinkel	4.680000	error	49.320000	ønsked vinkel	54	shardpwm	123	tid delat	0.008975
vinkel	5.840000	error	48.160000	ønsked vinkel	54	shardpwm	-109	tid delat	0.000990
vinkel	6.030000	error	47.970000	ønsked vinkel	54	shardpwm	86	tid delat	0.001003
vinkel	6.240000	error	47.760000	ønsked vinkel	54	shardpwm	83	tid delat	0.001035
vinkel	6.410000	error	47.590000	ønsked vinkel	54	shardpwm	119	tid delat	0.007968
vinkel	7.910000	error	46.090000	ønsked vinkel	54	shardpwm	-179	tid delat	0.000997
vinkel	8.230000	error	45.770000	ønsked vinkel	54	shardpwm	56	tid delat	0.000994
vinkel	8.490000	error	49.510000	ønsked vinkel	58	shardpwm	221	tid delat	0.008034
vinkel	10.910000	error	47.090000	ønsked vinkel	58	shardpwm	-255	tid delat	0.000993
vinkel	11.180000	error	46.820000	ønsked vinkel	58	shardpwm	70	tid delat	0.001016
vinkel	11.540000	error	46.460000	ønsked vinkel	58	shardpwm	110	tid delat	0.005968
vinkel	13.240000	error	44.760000	ønsked vinkel	58	shardpwm	-222	tid delat	0.000992
vinkel	13.710000	error	44.290000	ønsked vinkel	58	shardpwm	25	tid delat	0.001006
vinkel	14.080000	error	43.920000	ønsked vinkel	58	shardpwm	106	tid delat	0.006041
vinkel	15.690000	error	42.310000	ønsked vinkel	58	shardpwm	-213	tid delat	0.000980
vinkel	16.049999	error	41.950001	ønsked vinkel	58	shardpwm	42	tid delat	0.001000
vinkel	16.360001	error	41.639999	ønsked vinkel	58	shardpwm	104	tid delat	0.005991
vinkel	18.010000	error	39.990000	ønsked vinkel	58	shardpwm	-224	tid delat	0.000983
vinkel	18.309999	error	39.690001	ønsked vinkel	58	shardpwm	51	tid delat	0.001005
vinkel	18.610001	error	39.389999	ønsked vinkel	58	shardpwm	98	tid delat	0.005002
vinkel	19.740000	error	38.260000	ønsked vinkel	58	shardpwm	-113	tid delat	0.001018
vinkel	20.010000	error	37.990000	ønsked vinkel	58	shardpwm	54	tid delat	0.001002
vinkel	20.320000	error	37.680000	ønsked vinkel	58	shardpwm	97	tid delat	0.005981
vinkel	21.700001	error	36.299999	ønsked vinkel	58	shardpwm	-173	tid delat	0.000992
vinkel	21.889999	error	36.110001	ønsked vinkel	58	shardpwm	66	tid delat	0.001005
vinkel	22.080000	error	35.920000	ønsked vinkel	58	shardpwm	98	tid delat	0.006018
vinkel	22.840000	error	35.160000	ønsked vinkel	58	shardpwm	-46	tid delat	0.001012
vinkel	22.980000	error	35.020000	ønsked vinkel	58	shardpwm	74	tid delat	0.000996
vinkel	23.120001	error	34.879999	ønsked vinkel	58	shardpwm	98	tid delat	0.005973
vinkel	23.459999	error	34.540001	ønsked vinkel	58	shardpwm	33	tid delat	0.000993
vinkel	23.540001	error	34.459999	ønsked vinkel	58	shardpwm	86	tid delat	0.001011
vinkel	23.629999	error	34.370001	ønsked vinkel	58	shardpwm	99	tid delat	0.005992
vinkel	23.879999	error	34.120001	ønsked vinkel	58	shardpwm	51	tid delat	0.000996
vinkel	23.920000	error	34.080000	ønsked vinkel	58	shardpwm	94	tid delat	0.001033
vinkel	23.930000	error	34.070000	ønsked vinkel	58	shardpwm	101	tid delat	0.005990
vinkel	23.990000	error	34.010000	ønsked vinkel	58	shardpwm	89	tid delat	0.000975
vinkel	24.010000	error	33.990000	ønsked vinkel	58	shardpwm	98	tid delat	0.001004
vinkel	24.170000	error	33.830000	ønsked vinkel	58	shardpwm	96	tid delat	0.006001
vinkel	24.350000	error	33.650000	ønsked vinkel	58	shardpwm	65	tid delat	0.000996
vinkel	24.370001	error	33.629999	ønsked vinkel	58	shardpwm	101	tid delat	0.006022
vinkel	24.340000	error	33.660000	ønsked vinkel	58	shardpwm	107	tid delat	0.000993
vinkel	24.370001	error	33.629999	ønsked vinkel	58	shardpwm	95	tid delat	0.000993
vinkel	24.410000	error	33.590000	ønsked vinkel	58	shardpwm	100	tid delat	0.005990
vinkel	24.620001	error	33.379999	ønsked vinkel	58	shardpwm	60	tid delat	0.001014
vinkel	24.660000	error	33.340000	ønsked vinkel	58	shardpwm	93	tid delat	0.000991
vinkel	24.719999	error	36.280001	ønsked vinkel	61	shardpwm	205	tid delat	0.006021
vinkel	25.260000	error	35.740000	ønsked vinkel	61	shardpwm	-3	tid delat	0.000986
vinkel	25.410000	error	35.590000	ønsked vinkel	61	shardpwm	76	tid delat	0.001015
vinkel	25.559999	error	35.440001	ønsked vinkel	61	shardpwm	101	tid delat	0.005990
vinkel	26.150000	error	34.850000	ønsked vinkel	61	shardpwm	-13	tid delat	0.000993
vinkel	26.309999	error	34.690001	ønsked vinkel	61	shardpwm	72	tid delat	0.000992
vinkel	26.549999	error	34.450001	ønsked vinkel	61	shardpwm	96	tid delat	0.006035
vinkel	27.459999	error	33.540001	ønsked vinkel	61	shardpwm	-80	tid delat	0.000992
vinkel	27.650000	error	33.350000	ønsked vinkel	61	shardpwm	64	tid delat	0.000999
vinkel	27.889999	error	33.110001	ønsked vinkel	61	shardpwm	92	tid delat	0.004976
vinkel	28.850000	error	32.150000	ønsked vinkel	61	shardpwm	-90	tid delat	0.001003
vinkel	29.090000	error	31.910000	ønsked vinkel	61	shardpwm	52	tid delat	0.001006
vinkel	29.309999	error	31.690001	ønsked vinkel	61	shardpwm	92	tid delat	0.006032
vinkel	30.340000	error	30.660000	ønsked vinkel	61	shardpwm	-110	tid delat	0.000989
vinkel	30.639999	error	30.360001	ønsked vinkel	61	shardpwm	38	tid delat	0.001026
vinkel	30.950001	error	30.049999	ønsked vinkel	61	shardpwm	86	tid delat	0.005955
vinkel	32.320000	error	28.680000	ønsked vinkel	61	shardpwm	-182	tid delat	0.000990
vinkel	32.590000	error	28.410000	ønsked vinkel	61	shardpwm	40	tid delat	0.001009
vinkel	32.860001	error	28.139999	ønsked vinkel	61	shardpwm	84	tid delat	0.006033
vinkel	33.959999	error	27.040001	ønsked vinkel	61	shardpwm	-130	tid delat	0.000990
