Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	2.500000	i	1.711000	d	0.050000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	8.230000	error	42.770000	ønsked vinkel	51	shardpwm	159	tid delat	0.719632
vinkel	3.000000	error	48.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000013
vinkel	5.010000	error	45.990000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000006
vinkel	1.000000	error	50.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000005
vinkel	8.210000	error	42.790000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000005
vinkel	2.000000	error	49.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000005
vinkel	5.130000	error	45.870000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000005
vinkel	1.000000	error	50.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000004
vinkel	8.220000	error	42.780000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000004
vinkel	3.000000	error	48.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000004
vinkel	5.010000	error	45.990000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000004
vinkel	3.000000	error	48.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000004
vinkel	8.220000	error	42.780000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000004
vinkel	2.000000	error	49.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000004
vinkel	5.130000	error	45.870000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000004
vinkel	3.000000	error	48.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000050
vinkel	8.220000	error	42.780000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000004
vinkel	8.220000	error	42.780000	ønsked vinkel	51	shardpwm	159	tid delat	0.000022
vinkel	8.220000	error	42.780000	ønsked vinkel	51	shardpwm	160	tid delat	0.005864
vinkel	10.370000	error	43.630000	ønsked vinkel	54	shardpwm	204	tid delat	0.001004
vinkel	10.660000	error	43.340000	ønsked vinkel	54	shardpwm	147	tid delat	0.000995
vinkel	10.940000	error	43.060000	ønsked vinkel	54	shardpwm	159	tid delat	0.005992
vinkel	12.420000	error	41.580000	ønsked vinkel	54	shardpwm	83	tid delat	0.000997
vinkel	12.720000	error	41.280000	ønsked vinkel	54	shardpwm	142	tid delat	0.001014
vinkel	13.030000	error	40.970000	ønsked vinkel	54	shardpwm	154	tid delat	0.005994
vinkel	14.460000	error	39.540000	ønsked vinkel	54	shardpwm	81	tid delat	0.000995
vinkel	14.780000	error	39.220000	ønsked vinkel	54	shardpwm	150	tid delat	0.007005
vinkel	16.610001	error	37.389999	ønsked vinkel	54	shardpwm	57	tid delat	0.001004
vinkel	16.900000	error	37.100000	ønsked vinkel	54	shardpwm	133	tid delat	0.001016
vinkel	17.190001	error	36.809999	ønsked vinkel	54	shardpwm	144	tid delat	0.005994
vinkel	18.690001	error	35.309999	ønsked vinkel	54	shardpwm	67	tid delat	0.000987
vinkel	19.030001	error	34.969999	ønsked vinkel	54	shardpwm	126	tid delat	0.001012
vinkel	19.299999	error	34.700001	ønsked vinkel	54	shardpwm	140	tid delat	0.005990
vinkel	20.910000	error	33.090000	ønsked vinkel	54	shardpwm	57	tid delat	0.000996
vinkel	21.240000	error	32.760000	ønsked vinkel	54	shardpwm	121	tid delat	0.001005
vinkel	21.570000	error	32.430000	ønsked vinkel	54	shardpwm	134	tid delat	0.006006
vinkel	23.420000	error	30.580000	ønsked vinkel	54	shardpwm	39	tid delat	0.000992
vinkel	23.670000	error	30.330000	ønsked vinkel	54	shardpwm	119	tid delat	0.001002
vinkel	23.780001	error	30.219999	ønsked vinkel	54	shardpwm	131	tid delat	0.005998
vinkel	24.340000	error	29.660000	ønsked vinkel	54	shardpwm	102	tid delat	0.000998
vinkel	24.370001	error	29.629999	ønsked vinkel	54	shardpwm	130	tid delat	0.006018
vinkel	25.180000	error	28.820000	ønsked vinkel	54	shardpwm	88	tid delat	0.001001
vinkel	25.370001	error	28.629999	ønsked vinkel	54	shardpwm	118	tid delat	0.000979
vinkel	25.590000	error	28.410000	ønsked vinkel	54	shardpwm	126	tid delat	0.006004
vinkel	26.730000	error	27.270000	ønsked vinkel	54	shardpwm	68	tid delat	0.001002
vinkel	27.049999	error	26.950001	ønsked vinkel	54	shardpwm	109	tid delat	0.001010
vinkel	27.290001	error	26.709999	ønsked vinkel	54	shardpwm	122	tid delat	0.005998
vinkel	28.700001	error	25.299999	ønsked vinkel	54	shardpwm	50	tid delat	0.001001
vinkel	29.000000	error	25.000000	ønsked vinkel	54	shardpwm	105	tid delat	0.000988
vinkel	29.280001	error	24.719999	ønsked vinkel	54	shardpwm	117	tid delat	0.005997
vinkel	31.110001	error	22.889999	ønsked vinkel	54	shardpwm	24	tid delat	0.001006
vinkel	31.469999	error	22.530001	ønsked vinkel	54	shardpwm	96	tid delat	0.000994
vinkel	31.840000	error	22.160000	ønsked vinkel	54	shardpwm	110	tid delat	0.006025
vinkel	33.910000	error	20.090000	ønsked vinkel	54	shardpwm	4	tid delat	0.000989
vinkel	34.290001	error	19.709999	ønsked vinkel	54	shardpwm	88	tid delat	0.001010
vinkel	34.730000	error	23.270000	ønsked vinkel	58	shardpwm	146	tid delat	0.005979
vinkel	36.869999	error	21.130001	ønsked vinkel	58	shardpwm	4	tid delat	0.000995
vinkel	37.270000	error	20.730000	ønsked vinkel	58	shardpwm	107	tid delat	0.006021
vinkel	39.560001	error	18.439999	ønsked vinkel	58	shardpwm	-11	tid delat	0.000979
vinkel	40.040001	error	17.959999	ønsked vinkel	58	shardpwm	80	tid delat	0.001005
vinkel	40.540001	error	17.459999	ønsked vinkel	58	shardpwm	98	tid delat	0.006014
vinkel	43.090000	error	14.910000	ønsked vinkel	58	shardpwm	-31	tid delat	0.000994
vinkel	43.570000	error	14.430000	ønsked vinkel	58	shardpwm	71	tid delat	0.001005
vinkel	44.060001	error	13.939999	ønsked vinkel	58	shardpwm	90	tid delat	0.006012
vinkel	46.389999	error	11.610001	ønsked vinkel	58	shardpwm	-28	tid delat	0.000998
vinkel	46.889999	error	11.110001	ønsked vinkel	58	shardpwm	62	tid delat	0.000995
vinkel	47.380001	error	10.619999	ønsked vinkel	58	shardpwm	82	tid delat	0.006032
vinkel	49.880001	error	8.119999	ønsked vinkel	58	shardpwm	-50	tid delat	0.000961
vinkel	50.410000	error	7.590000	ønsked vinkel	58	shardpwm	52	tid delat	0.001003
vinkel	50.900002	error	7.099998	ønsked vinkel	58	shardpwm	73	tid delat	0.005986
vinkel	53.500000	error	4.500000	ønsked vinkel	58	shardpwm	-60	tid delat	0.000993
vinkel	53.980000	error	4.020000	ønsked vinkel	58	shardpwm	45	tid delat	0.001005
vinkel	54.459999	error	3.540001	ønsked vinkel	58	shardpwm	64	tid delat	0.005999
vinkel	57.060001	error	0.939999	ønsked vinkel	58	shardpwm	-65	tid delat	0.001016
vinkel	57.540001	error	0.459999	ønsked vinkel	58	shardpwm	37	tid delat	0.001010
vinkel	58.070000	error	-0.070000	ønsked vinkel	58	shardpwm	55	tid delat	0.006013
vinkel	60.759998	error	-2.759998	ønsked vinkel	58	shardpwm	-80	tid delat	0.001006
vinkel	61.299999	error	-3.299999	ønsked vinkel	58	shardpwm	23	tid delat	0.000970
vinkel	61.810001	error	-3.810001	ønsked vinkel	58	shardpwm	45	tid delat	0.006034
vinkel	64.620003	error	-6.620003	ønsked vinkel	58	shardpwm	-99	tid delat	0.000987
vinkel	65.139999	error	-7.139999	ønsked vinkel	58	shardpwm	15	tid delat	0.001005
vinkel	65.669998	error	-7.669998	ønsked vinkel	58	shardpwm	35	tid delat	0.005983
vinkel	68.290001	error	-10.290001	ønsked vinkel	58	shardpwm	-96	tid delat	0.001002
vinkel	68.739998	error	-10.739998	ønsked vinkel	58	shardpwm	10	tid delat	0.001010
vinkel	69.220001	error	-11.220001	ønsked vinkel	58	shardpwm	27	tid delat	0.005996
vinkel	71.830002	error	-13.830002	ønsked vinkel	58	shardpwm	-106	tid delat	0.000995
vinkel	72.379997	error	-14.379997	ønsked vinkel	58	shardpwm	-4	tid delat	0.000987
vinkel	72.889999	error	-14.889999	ønsked vinkel	58	shardpwm	16	tid delat	0.005016
vinkel	74.900002	error	-16.900002	ønsked vinkel	58	shardpwm	-80	tid delat	0.001032
vinkel	75.370003	error	-17.370003	ønsked vinkel	58	shardpwm	-7	tid delat	0.000992
vinkel	75.900002	error	-17.900002	ønsked vinkel	58	shardpwm	9	tid delat	0.005955
vinkel	78.230003	error	-20.230003	ønsked vinkel	58	shardpwm	-106	tid delat	0.001011
vinkel	78.680000	error	-20.680000	ønsked vinkel	58	shardpwm	-15	tid delat	0.000996
vinkel	79.150002	error	-18.150002	ønsked vinkel	61	shardpwm	34	tid delat	0.005983
vinkel	81.449997	error	-20.449997	ønsked vinkel	61	shardpwm	-107	tid delat	0.001001
vinkel	81.860001	error	-20.860001	ønsked vinkel	61	shardpwm	-13	tid delat	0.001007
vinkel	82.279999	error	-21.279999	ønsked vinkel	61	shardpwm	1	tid delat	0.005995
vinkel	84.320000	error	-23.320000	ønsked vinkel	61	shardpwm	-102	tid delat	0.000999
vinkel	84.720001	error	-23.720001	ønsked vinkel	61	shardpwm	-21	tid delat	0.000997
vinkel	85.099998	error	-24.099998	ønsked vinkel	61	shardpwm	-5	tid delat	0.005003
vinkel	86.559998	error	-25.559998	ønsked vinkel	61	shardpwm	-78	tid delat	0.001001
vinkel	86.889999	error	-25.889999	ønsked vinkel	61	shardpwm	-10	tid delat	0.005019
vinkel	88.260002	error	-27.260002	ønsked vinkel	61	shardpwm	-80	tid delat	0.000981
vinkel	88.570000	error	-27.570000	ønsked vinkel	61	shardpwm	-14	tid delat	0.005005
vinkel	89.779999	error	-28.779999	ønsked vinkel	61	shardpwm	-74	tid delat	0.001001
vinkel	90.150002	error	-29.150002	ønsked vinkel	61	shardpwm	-34	tid delat	0.000992
vinkel	90.580002	error	-29.580002	ønsked vinkel	61	shardpwm	-21	tid delat	0.004997
vinkel	91.540001	error	-30.540001	ønsked vinkel	61	shardpwm	-67	tid delat	0.001003
vinkel	91.779999	error	-30.779999	ønsked vinkel	61	shardpwm	-22	tid delat	0.005014
vinkel	92.580002	error	-31.580002	ønsked vinkel	61	shardpwm	-62	tid delat	0.000997
