Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	5.500000	i	0.711000	d	0.000000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	8.450000	error	42.550000	ønsked vinkel	51	shardpwm	255	tid delat	0.865246
vinkel	45.000000	error	6.000000	ønsked vinkel	51	shardpwm	59	tid delat	0.000009
vinkel	1.590000	error	49.410000	ønsked vinkel	51	shardpwm	255	tid delat	0.000004
vinkel	1.590000	error	49.410000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	60.000000	error	-9.000000	ønsked vinkel	51	shardpwm	-23	tid delat	0.000003
:(vinkel	0.560000	error	50.440000	ønsked vinkel	51	shardpwm	255	tid delat	0.000004
vinkel	5.000000	error	46.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	1.630000	error	49.370000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	0.630000	error	50.370000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	5.000000	error	46.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	8.450000	error	42.550000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	45.000000	error	6.000000	ønsked vinkel	51	shardpwm	59	tid delat	0.000003
vinkel	1.650000	error	49.350000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	1.650000	error	49.350000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	65.000000	error	-14.000000	ønsked vinkel	51	shardpwm	-50	tid delat	0.000046
:(vinkel	1.650000	error	49.350000	ønsked vinkel	51	shardpwm	255	tid delat	0.000020
vinkel	1.650000	error	49.350000	ønsked vinkel	51	shardpwm	255	tid delat	0.000042
vinkel	3.000000	error	48.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000927
vinkel	1.870000	error	49.130000	ønsked vinkel	51	shardpwm	255	tid delat	0.001004
vinkel	1.990000	error	49.010000	ønsked vinkel	51	shardpwm	255	tid delat	0.001003
vinkel	2.060000	error	48.940000	ønsked vinkel	51	shardpwm	255	tid delat	0.001003
vinkel	2.110000	error	51.890000	ønsked vinkel	54	shardpwm	255	tid delat	0.008992
vinkel	2.380000	error	51.620000	ønsked vinkel	54	shardpwm	255	tid delat	0.001007
vinkel	2.400000	error	51.600000	ønsked vinkel	54	shardpwm	255	tid delat	0.000993
vinkel	2.430000	error	51.570000	ønsked vinkel	54	shardpwm	255	tid delat	0.001015
vinkel	2.460000	error	51.540000	ønsked vinkel	54	shardpwm	255	tid delat	0.000985
vinkel	2.480000	error	51.520000	ønsked vinkel	54	shardpwm	255	tid delat	0.001010
vinkel	2.510000	error	51.490000	ønsked vinkel	54	shardpwm	255	tid delat	0.010996
vinkel	2.760000	error	51.240000	ønsked vinkel	54	shardpwm	255	tid delat	0.000996
vinkel	2.780000	error	51.220000	ønsked vinkel	54	shardpwm	255	tid delat	0.001004
vinkel	2.810000	error	51.190000	ønsked vinkel	54	shardpwm	255	tid delat	0.000995
vinkel	2.850000	error	51.150000	ønsked vinkel	54	shardpwm	255	tid delat	0.001005
vinkel	2.890000	error	51.110000	ønsked vinkel	54	shardpwm	255	tid delat	0.007995
vinkel	3.040000	error	50.960000	ønsked vinkel	54	shardpwm	255	tid delat	0.001007
vinkel	3.140000	error	50.860000	ønsked vinkel	54	shardpwm	255	tid delat	0.000989
vinkel	3.160000	error	50.840000	ønsked vinkel	54	shardpwm	255	tid delat	0.001006
vinkel	3.220000	error	50.780000	ønsked vinkel	54	shardpwm	255	tid delat	0.000995
vinkel	3.230000	error	50.770000	ønsked vinkel	54	shardpwm	255	tid delat	0.009020
vinkel	3.280000	error	50.720000	ønsked vinkel	54	shardpwm	255	tid delat	0.000985
vinkel	3.270000	error	50.730000	ønsked vinkel	54	shardpwm	255	tid delat	0.001011
vinkel	3.180000	error	50.820000	ønsked vinkel	54	shardpwm	255	tid delat	0.000985
vinkel	3.140000	error	50.860000	ønsked vinkel	54	shardpwm	255	tid delat	0.010003
vinkel	3.120000	error	50.880000	ønsked vinkel	54	shardpwm	255	tid delat	0.001001
vinkel	3.130000	error	50.870000	ønsked vinkel	54	shardpwm	255	tid delat	0.000995
vinkel	3.130000	error	50.870000	ønsked vinkel	54	shardpwm	255	tid delat	0.001013
vinkel	3.130000	error	50.870000	ønsked vinkel	54	shardpwm	255	tid delat	0.000998
vinkel	3.120000	error	50.880000	ønsked vinkel	54	shardpwm	255	tid delat	0.009996
vinkel	3.160000	error	50.840000	ønsked vinkel	54	shardpwm	255	tid delat	0.001005
vinkel	3.140000	error	50.860000	ønsked vinkel	54	shardpwm	255	tid delat	0.000995
vinkel	3.180000	error	50.820000	ønsked vinkel	54	shardpwm	255	tid delat	0.000991
vinkel	3.200000	error	50.800000	ønsked vinkel	54	shardpwm	255	tid delat	0.010018
vinkel	3.240000	error	50.760000	ønsked vinkel	54	shardpwm	255	tid delat	0.000992
vinkel	3.270000	error	50.730000	ønsked vinkel	54	shardpwm	255	tid delat	0.000994
vinkel	3.200000	error	50.800000	ønsked vinkel	54	shardpwm	255	tid delat	0.001005
vinkel	3.210000	error	50.790000	ønsked vinkel	54	shardpwm	255	tid delat	0.000999
vinkel	3.180000	error	50.820000	ønsked vinkel	54	shardpwm	255	tid delat	0.009002
vinkel	3.170000	error	54.830000	ønsked vinkel	58	shardpwm	255	tid delat	0.000999
vinkel	3.120000	error	54.880000	ønsked vinkel	58	shardpwm	255	tid delat	0.001004
vinkel	3.110000	error	54.890000	ønsked vinkel	58	shardpwm	255	tid delat	0.000998
vinkel	3.120000	error	54.880000	ønsked vinkel	58	shardpwm	255	tid delat	0.001003
vinkel	3.110000	error	54.890000	ønsked vinkel	58	shardpwm	255	tid delat	0.000995
vinkel	3.130000	error	54.870000	ønsked vinkel	58	shardpwm	255	tid delat	0.009011
vinkel	3.080000	error	54.920000	ønsked vinkel	58	shardpwm	255	tid delat	0.000991
vinkel	3.100000	error	54.900000	ønsked vinkel	58	shardpwm	255	tid delat	0.001015
vinkel	3.130000	error	54.870000	ønsked vinkel	58	shardpwm	255	tid delat	0.000981
vinkel	3.120000	error	54.880000	ønsked vinkel	58	shardpwm	255	tid delat	0.010005
vinkel	3.160000	error	54.840000	ønsked vinkel	58	shardpwm	255	tid delat	0.001025
vinkel	3.160000	error	54.840000	ønsked vinkel	58	shardpwm	255	tid delat	0.000978
vinkel	3.180000	error	54.820000	ønsked vinkel	58	shardpwm	255	tid delat	0.001007
vinkel	3.140000	error	54.860000	ønsked vinkel	58	shardpwm	255	tid delat	0.009987
vinkel	3.160000	error	54.840000	ønsked vinkel	58	shardpwm	255	tid delat	0.001035
vinkel	3.170000	error	54.830000	ønsked vinkel	58	shardpwm	255	tid delat	0.000965
vinkel	3.170000	error	54.830000	ønsked vinkel	58	shardpwm	255	tid delat	0.001001
vinkel	3.170000	error	54.830000	ønsked vinkel	58	shardpwm	255	tid delat	0.010000
vinkel	3.230000	error	54.770000	ønsked vinkel	58	shardpwm	255	tid delat	0.001003
vinkel	3.240000	error	54.760000	ønsked vinkel	58	shardpwm	255	tid delat	0.000995
vinkel	3.210000	error	54.790000	ønsked vinkel	58	shardpwm	255	tid delat	0.001017
vinkel	3.270000	error	54.730000	ønsked vinkel	58	shardpwm	255	tid delat	0.010017
vinkel	3.230000	error	54.770000	ønsked vinkel	58	shardpwm	255	tid delat	0.000999
vinkel	3.230000	error	54.770000	ønsked vinkel	58	shardpwm	255	tid delat	0.000996
vinkel	3.210000	error	54.790000	ønsked vinkel	58	shardpwm	255	tid delat	0.000995
vinkel	3.190000	error	54.810000	ønsked vinkel	58	shardpwm	255	tid delat	0.000988
vinkel	3.170000	error	54.830000	ønsked vinkel	58	shardpwm	255	tid delat	0.007995
vinkel	3.230000	error	54.770000	ønsked vinkel	58	shardpwm	255	tid delat	0.001008
vinkel	3.220000	error	54.780000	ønsked vinkel	58	shardpwm	255	tid delat	0.001014
vinkel	3.200000	error	54.800000	ønsked vinkel	58	shardpwm	255	tid delat	0.000991
vinkel	3.190000	error	54.810000	ønsked vinkel	58	shardpwm	255	tid delat	0.000996
vinkel	3.200000	error	54.800000	ønsked vinkel	58	shardpwm	255	tid delat	0.000996
vinkel	3.210000	error	54.790000	ønsked vinkel	58	shardpwm	255	tid delat	0.001002
vinkel	3.210000	error	54.790000	ønsked vinkel	58	shardpwm	255	tid delat	0.010006
vinkel	3.140000	error	54.860000	ønsked vinkel	58	shardpwm	255	tid delat	0.000994
vinkel	3.050000	error	54.950000	ønsked vinkel	58	shardpwm	255	tid delat	0.001019
vinkel	3.080000	error	54.920000	ønsked vinkel	58	shardpwm	255	tid delat	0.000981
vinkel	3.150000	error	54.850000	ønsked vinkel	58	shardpwm	255	tid delat	0.001000
vinkel	3.140000	error	57.860000	ønsked vinkel	61	shardpwm	255	tid delat	0.010993
vinkel	3.260000	error	57.740000	ønsked vinkel	61	shardpwm	255	tid delat	0.000992
vinkel	3.190000	error	57.810000	ønsked vinkel	61	shardpwm	255	tid delat	0.001008
vinkel	3.210000	error	57.790000	ønsked vinkel	61	shardpwm	255	tid delat	0.000989
vinkel	3.210000	error	57.790000	ønsked vinkel	61	shardpwm	255	tid delat	0.010027
vinkel	3.240000	error	57.760000	ønsked vinkel	61	shardpwm	255	tid delat	0.000983
vinkel	3.240000	error	57.760000	ønsked vinkel	61	shardpwm	255	tid delat	0.000999
vinkel	3.240000	error	57.760000	ønsked vinkel	61	shardpwm	255	tid delat	0.001011
vinkel	3.240000	error	57.760000	ønsked vinkel	61	shardpwm	255	tid delat	0.009989
vinkel	3.150000	error	57.850000	ønsked vinkel	61	shardpwm	255	tid delat	0.000994
vinkel	3.160000	error	57.840000	ønsked vinkel	61	shardpwm	255	tid delat	0.001009
vinkel	3.170000	error	57.830000	ønsked vinkel	61	shardpwm	255	tid delat	0.000994
vinkel	3.170000	error	57.830000	ønsked vinkel	61	shardpwm	255	tid delat	0.010002
vinkel	3.130000	error	57.870000	ønsked vinkel	61	shardpwm	255	tid delat	0.001004
vinkel	3.220000	error	57.780000	ønsked vinkel	61	shardpwm	255	tid delat	0.000987
vinkel	3.180000	error	57.820000	ønsked vinkel	61	shardpwm	255	tid delat	0.001012
vinkel	3.110000	error	57.890000	ønsked vinkel	61	shardpwm	255	tid delat	0.000995
vinkel	3.120000	error	57.880000	ønsked vinkel	61	shardpwm	255	tid delat	0.009997
