Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	5.500000	i	0.711000	d	0.000000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	0.610000	error	57.390000	ønsked vinkel	58	shardpwm	255	tid delat	0.001021
vinkel	0.620000	error	57.380000	ønsked vinkel	58	shardpwm	255	tid delat	0.001004
vinkel	0.590000	error	57.410000	ønsked vinkel	58	shardpwm	255	tid delat	0.000970
vinkel	0.570000	error	57.430000	ønsked vinkel	58	shardpwm	255	tid delat	0.001009
vinkel	0.570000	error	57.430000	ønsked vinkel	58	shardpwm	255	tid delat	0.012003
vinkel	0.510000	error	57.490000	ønsked vinkel	58	shardpwm	255	tid delat	0.001016
vinkel	0.520000	error	57.480000	ønsked vinkel	58	shardpwm	255	tid delat	0.001001
vinkel	0.520000	error	57.480000	ønsked vinkel	58	shardpwm	255	tid delat	0.000972
vinkel	0.500000	error	57.500000	ønsked vinkel	58	shardpwm	255	tid delat	0.001005
vinkel	0.510000	error	57.490000	ønsked vinkel	58	shardpwm	255	tid delat	0.001020
vinkel	0.550000	error	57.450000	ønsked vinkel	58	shardpwm	255	tid delat	0.012004
vinkel	0.520000	error	57.480000	ønsked vinkel	58	shardpwm	255	tid delat	0.000986
vinkel	0.540000	error	57.460000	ønsked vinkel	58	shardpwm	255	tid delat	0.001001
vinkel	0.540000	error	57.460000	ønsked vinkel	58	shardpwm	255	tid delat	0.001012
vinkel	0.530000	error	57.470000	ønsked vinkel	58	shardpwm	255	tid delat	0.000992
vinkel	0.530000	error	57.470000	ønsked vinkel	58	shardpwm	255	tid delat	0.000988
vinkel	0.540000	error	57.460000	ønsked vinkel	58	shardpwm	255	tid delat	0.000994
vinkel	0.510000	error	57.490000	ønsked vinkel	58	shardpwm	255	tid delat	0.011015
vinkel	0.500000	error	57.500000	ønsked vinkel	58	shardpwm	255	tid delat	0.000997
vinkel	0.480000	error	57.520000	ønsked vinkel	58	shardpwm	255	tid delat	0.000992
vinkel	0.580000	error	57.420000	ønsked vinkel	58	shardpwm	255	tid delat	0.001023
vinkel	0.550000	error	57.450000	ønsked vinkel	58	shardpwm	255	tid delat	0.000982
vinkel	0.550000	error	57.450000	ønsked vinkel	58	shardpwm	255	tid delat	0.001002
vinkel	0.560000	error	57.440000	ønsked vinkel	58	shardpwm	255	tid delat	0.000995
vinkel	0.560000	error	57.440000	ønsked vinkel	58	shardpwm	255	tid delat	0.011999
vinkel	0.640000	error	57.360000	ønsked vinkel	58	shardpwm	255	tid delat	0.001007
vinkel	0.650000	error	60.350000	ønsked vinkel	61	shardpwm	255	tid delat	0.000991
vinkel	0.650000	error	60.350000	ønsked vinkel	61	shardpwm	255	tid delat	0.001005
vinkel	0.660000	error	60.340000	ønsked vinkel	61	shardpwm	255	tid delat	0.000996
vinkel	0.680000	error	60.320000	ønsked vinkel	61	shardpwm	255	tid delat	0.001003
vinkel	0.670000	error	60.330000	ønsked vinkel	61	shardpwm	255	tid delat	0.012998
vinkel	0.710000	error	60.290000	ønsked vinkel	61	shardpwm	255	tid delat	0.001030
vinkel	0.720000	error	60.280000	ønsked vinkel	61	shardpwm	255	tid delat	0.000983
vinkel	0.680000	error	60.320000	ønsked vinkel	61	shardpwm	255	tid delat	0.000986
vinkel	0.700000	error	60.300000	ønsked vinkel	61	shardpwm	255	tid delat	0.000994
vinkel	0.730000	error	60.270000	ønsked vinkel	61	shardpwm	255	tid delat	0.001014
vinkel	0.720000	error	60.280000	ønsked vinkel	61	shardpwm	255	tid delat	0.013012
vinkel	0.730000	error	60.270000	ønsked vinkel	61	shardpwm	255	tid delat	0.000975
vinkel	0.690000	error	60.310000	ønsked vinkel	61	shardpwm	255	tid delat	0.001004
vinkel	0.690000	error	60.310000	ønsked vinkel	61	shardpwm	255	tid delat	0.001014
vinkel	0.690000	error	60.310000	ønsked vinkel	61	shardpwm	255	tid delat	0.001006
vinkel	0.690000	error	60.310000	ønsked vinkel	61	shardpwm	255	tid delat	0.000978
vinkel	0.640000	error	60.360000	ønsked vinkel	61	shardpwm	255	tid delat	0.011998
vinkel	0.580000	error	60.420000	ønsked vinkel	61	shardpwm	255	tid delat	0.001006
vinkel	0.580000	error	60.420000	ønsked vinkel	61	shardpwm	255	tid delat	0.001000
vinkel	0.560000	error	60.440000	ønsked vinkel	61	shardpwm	255	tid delat	0.000992
vinkel	0.550000	error	60.450000	ønsked vinkel	61	shardpwm	255	tid delat	0.001007
vinkel	0.540000	error	60.460000	ønsked vinkel	61	shardpwm	255	tid delat	0.000993
vinkel	0.540000	error	60.460000	ønsked vinkel	61	shardpwm	255	tid delat	0.001004
vinkel	0.540000	error	60.460000	ønsked vinkel	61	shardpwm	255	tid delat	0.012001
vinkel	0.500000	error	60.500000	ønsked vinkel	61	shardpwm	255	tid delat	0.000993
vinkel	0.520000	error	60.480000	ønsked vinkel	61	shardpwm	255	tid delat	0.001007
vinkel	0.530000	error	60.470000	ønsked vinkel	61	shardpwm	255	tid delat	0.000998
vinkel	0.520000	error	60.480000	ønsked vinkel	61	shardpwm	255	tid delat	0.001025
vinkel	0.490000	error	60.510000	ønsked vinkel	61	shardpwm	255	tid delat	0.000978
vinkel	0.500000	error	60.500000	ønsked vinkel	61	shardpwm	255	tid delat	0.012000
vinkel	0.530000	error	60.470000	ønsked vinkel	61	shardpwm	255	tid delat	0.001002
vinkel	0.530000	error	60.470000	ønsked vinkel	61	shardpwm	255	tid delat	0.001001
vinkel	0.530000	error	60.470000	ønsked vinkel	61	shardpwm	255	tid delat	0.000991
vinkel	0.500000	error	60.500000	ønsked vinkel	61	shardpwm	255	tid delat	0.001004
vinkel	0.570000	error	60.430000	ønsked vinkel	61	shardpwm	255	tid delat	0.001000
vinkel	0.540000	error	60.460000	ønsked vinkel	61	shardpwm	255	tid delat	0.001002
vinkel	0.590000	error	63.410000	ønsked vinkel	64	shardpwm	255	tid delat	0.012001
vinkel	0.630000	error	63.370000	ønsked vinkel	64	shardpwm	255	tid delat	0.001004
vinkel	0.620000	error	63.380000	ønsked vinkel	64	shardpwm	255	tid delat	0.000997
vinkel	0.640000	error	63.360000	ønsked vinkel	64	shardpwm	255	tid delat	0.001002
vinkel	0.640000	error	63.360000	ønsked vinkel	64	shardpwm	255	tid delat	0.001008
vinkel	0.650000	error	63.350000	ønsked vinkel	64	shardpwm	255	tid delat	0.001023
vinkel	0.680000	error	63.320000	ønsked vinkel	64	shardpwm	255	tid delat	0.011991
vinkel	0.660000	error	63.340000	ønsked vinkel	64	shardpwm	255	tid delat	0.001015
vinkel	0.640000	error	63.360000	ønsked vinkel	64	shardpwm	255	tid delat	0.000990
vinkel	0.610000	error	63.390000	ønsked vinkel	64	shardpwm	255	tid delat	0.001004
vinkel	0.640000	error	63.360000	ønsked vinkel	64	shardpwm	255	tid delat	0.000994
vinkel	0.640000	error	63.360000	ønsked vinkel	64	shardpwm	255	tid delat	0.001006
vinkel	0.630000	error	63.370000	ønsked vinkel	64	shardpwm	255	tid delat	0.011964
vinkel	0.530000	error	63.470000	ønsked vinkel	64	shardpwm	255	tid delat	0.001028
vinkel	0.530000	error	63.470000	ønsked vinkel	64	shardpwm	255	tid delat	0.001008
vinkel	0.520000	error	63.480000	ønsked vinkel	64	shardpwm	255	tid delat	0.000964
vinkel	0.510000	error	63.490000	ønsked vinkel	64	shardpwm	255	tid delat	0.001004
vinkel	0.550000	error	63.450000	ønsked vinkel	64	shardpwm	255	tid delat	0.001032
vinkel	0.470000	error	63.530000	ønsked vinkel	64	shardpwm	255	tid delat	0.000986
vinkel	0.500000	error	63.500000	ønsked vinkel	64	shardpwm	255	tid delat	0.011999
vinkel	0.470000	error	63.530000	ønsked vinkel	64	shardpwm	255	tid delat	0.001003
vinkel	0.470000	error	63.530000	ønsked vinkel	64	shardpwm	255	tid delat	0.000979
vinkel	0.460000	error	63.540000	ønsked vinkel	64	shardpwm	255	tid delat	0.001004
vinkel	0.500000	error	63.500000	ønsked vinkel	64	shardpwm	255	tid delat	0.001008
vinkel	0.520000	error	63.480000	ønsked vinkel	64	shardpwm	255	tid delat	0.000993
vinkel	0.480000	error	63.520000	ønsked vinkel	64	shardpwm	255	tid delat	0.000994
vinkel	0.460000	error	63.540000	ønsked vinkel	64	shardpwm	255	tid delat	0.012035
vinkel	0.480000	error	63.520000	ønsked vinkel	64	shardpwm	255	tid delat	0.000988
vinkel	0.480000	error	63.520000	ønsked vinkel	64	shardpwm	255	tid delat	0.000993
vinkel	0.480000	error	63.520000	ønsked vinkel	64	shardpwm	255	tid delat	0.001008
vinkel	0.480000	error	63.520000	ønsked vinkel	64	shardpwm	255	tid delat	0.000978
vinkel	0.470000	error	63.530000	ønsked vinkel	64	shardpwm	255	tid delat	0.001024
vinkel	0.480000	error	63.520000	ønsked vinkel	64	shardpwm	255	tid delat	0.011982
vinkel	0.600000	error	63.400000	ønsked vinkel	64	shardpwm	255	tid delat	0.000997
vinkel	0.610000	error	63.390000	ønsked vinkel	64	shardpwm	255	tid delat	0.001008
vinkel	0.610000	error	63.390000	ønsked vinkel	64	shardpwm	255	tid delat	0.000988
vinkel	0.620000	error	63.380000	ønsked vinkel	64	shardpwm	255	tid delat	0.001005
vinkel	0.610000	error	63.390000	ønsked vinkel	64	shardpwm	255	tid delat	0.000998
vinkel	0.610000	error	63.390000	ønsked vinkel	64	shardpwm	255	tid delat	0.001004
vinkel	0.610000	error	66.390000	ønsked vinkel	67	shardpwm	255	tid delat	0.012026
vinkel	0.600000	error	66.400000	ønsked vinkel	67	shardpwm	255	tid delat	0.000998
vinkel	0.610000	error	66.390000	ønsked vinkel	67	shardpwm	255	tid delat	0.001005
vinkel	0.580000	error	66.420000	ønsked vinkel	67	shardpwm	255	tid delat	0.000997
vinkel	0.490000	error	66.510000	ønsked vinkel	67	shardpwm	255	tid delat	0.001019
vinkel	0.460000	error	66.540000	ønsked vinkel	67	shardpwm	255	tid delat	0.013000
vinkel	0.510000	error	66.490000	ønsked vinkel	67	shardpwm	255	tid delat	0.000993
vinkel	0.510000	error	66.490000	ønsked vinkel	67	shardpwm	255	tid delat	0.000975
vinkel	0.510000	error	66.490000	ønsked vinkel	67	shardpwm	255	tid delat	0.001024
vinkel	0.540000	error	66.460000	ønsked vinkel	67	shardpwm	255	tid delat	0.000990
vinkel	0.570000	error	66.430000	ønsked vinkel	67	shardpwm	255	tid delat	0.000980
vinkel	0.610000	error	66.390000	ønsked vinkel	67	shardpwm	255	tid delat	0.012002
vinkel	0.620000	error	66.380000	ønsked vinkel	67	shardpwm	255	tid delat	0.000990
vinkel	0.580000	error	66.420000	ønsked vinkel	67	shardpwm	255	tid delat	0.001000
vinkel	0.570000	error	66.430000	ønsked vinkel	67	shardpwm	255	tid delat	0.001015
vinkel	0.570000	error	66.430000	ønsked vinkel	67	shardpwm	255	tid delat	0.000991
vinkel	0.570000	error	66.430000	ønsked vinkel	67	shardpwm	255	tid delat	0.001007
vinkel	0.580000	error	66.420000	ønsked vinkel	67	shardpwm	255	tid delat	0.001003
vinkel	0.590000	error	66.410000	ønsked vinkel	67	shardpwm	255	tid delat	0.012001
vinkel	0.590000	error	66.410000	ønsked vinkel	67	shardpwm	255	tid delat	0.000988
vinkel	0.600000	error	66.400000	ønsked vinkel	67	shardpwm	255	tid delat	0.001008
vinkel	0.590000	error	66.410000	ønsked vinkel	67	shardpwm	255	tid delat	0.000983
vinkel	0.620000	error	66.380000	ønsked vinkel	67	shardpwm	255	tid delat	0.001007
vinkel	0.680000	error	66.320000	ønsked vinkel	67	shardpwm	255	tid delat	0.000997
vinkel	0.690000	error	66.310000	ønsked vinkel	67	shardpwm	255	tid delat	0.012016
