Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	1.500000	i	1.111000	d	0.100000	min	-230.000000	max	230.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	2.310000	error	48.690000	ønsked vinkel	51	shardpwm	123	tid delat	0.938011
vinkel	29.000000	error	22.000000	ønsked vinkel	51	shardpwm	-230	tid delat	0.000016
:(vinkel	0.150000	error	50.850000	ønsked vinkel	51	shardpwm	230	tid delat	0.000010
vinkel	5.000000	error	46.000000	ønsked vinkel	51	shardpwm	-230	tid delat	0.000006
vinkel	2.320000	error	48.680000	ønsked vinkel	51	shardpwm	230	tid delat	0.000006
vinkel	0.290000	error	50.710000	ønsked vinkel	51	shardpwm	230	tid delat	0.000005
vinkel	9.000000	error	42.000000	ønsked vinkel	51	shardpwm	-230	tid delat	0.000005
vinkel	9.030000	error	41.970000	ønsked vinkel	51	shardpwm	-230	tid delat	0.000005
vinkel	27.000000	error	24.000000	ønsked vinkel	51	shardpwm	-230	tid delat	0.000005
vinkel	2.290000	error	48.710000	ønsked vinkel	51	shardpwm	230	tid delat	0.000005
vinkel	2.290000	error	48.710000	ønsked vinkel	51	shardpwm	123	tid delat	0.000005
vinkel	31.000000	error	20.000000	ønsked vinkel	51	shardpwm	-230	tid delat	0.000005
:(vinkel	0.150000	error	50.850000	ønsked vinkel	51	shardpwm	230	tid delat	0.000007
vinkel	5.000000	error	46.000000	ønsked vinkel	51	shardpwm	-230	tid delat	0.000068
vinkel	2.320000	error	51.680000	ønsked vinkel	54	shardpwm	202	tid delat	0.007728
vinkel	2.370000	error	51.630000	ønsked vinkel	54	shardpwm	123	tid delat	0.001022
vinkel	2.370000	error	51.630000	ønsked vinkel	54	shardpwm	128	tid delat	0.000987
vinkel	2.350000	error	51.650000	ønsked vinkel	54	shardpwm	130	tid delat	0.001002
vinkel	2.380000	error	51.620000	ønsked vinkel	54	shardpwm	125	tid delat	0.001004
vinkel	2.400000	error	51.600000	ønsked vinkel	54	shardpwm	126	tid delat	0.000993
vinkel	2.380000	error	51.620000	ønsked vinkel	54	shardpwm	129	tid delat	0.011987
vinkel	2.410000	error	51.590000	ønsked vinkel	54	shardpwm	126	tid delat	0.001001
vinkel	2.410000	error	51.590000	ønsked vinkel	54	shardpwm	129	tid delat	0.000997
vinkel	2.420000	error	51.580000	ønsked vinkel	54	shardpwm	128	tid delat	0.001005
vinkel	2.420000	error	51.580000	ønsked vinkel	54	shardpwm	129	tid delat	0.000995
vinkel	2.400000	error	51.600000	ønsked vinkel	54	shardpwm	131	tid delat	0.001006
vinkel	2.400000	error	51.600000	ønsked vinkel	54	shardpwm	130	tid delat	0.010003
vinkel	2.250000	error	51.750000	ønsked vinkel	54	shardpwm	145	tid delat	0.001002
vinkel	2.260000	error	51.740000	ønsked vinkel	54	shardpwm	129	tid delat	0.001006
vinkel	2.180000	error	51.820000	ønsked vinkel	54	shardpwm	139	tid delat	0.000990
vinkel	2.160000	error	51.840000	ønsked vinkel	54	shardpwm	133	tid delat	0.001001
vinkel	2.190000	error	51.810000	ønsked vinkel	54	shardpwm	128	tid delat	0.001001
vinkel	2.180000	error	51.820000	ønsked vinkel	54	shardpwm	131	tid delat	0.009999
vinkel	2.270000	error	51.730000	ønsked vinkel	54	shardpwm	122	tid delat	0.000994
vinkel	2.250000	error	51.750000	ønsked vinkel	54	shardpwm	133	tid delat	0.001004
vinkel	2.280000	error	51.720000	ønsked vinkel	54	shardpwm	128	tid delat	0.001009
vinkel	2.300000	error	51.700000	ønsked vinkel	54	shardpwm	131	tid delat	0.009005
vinkel	2.920000	error	51.080000	ønsked vinkel	54	shardpwm	69	tid delat	0.000999
vinkel	2.990000	error	51.010000	ønsked vinkel	54	shardpwm	124	tid delat	0.001007
vinkel	3.070000	error	50.930000	ønsked vinkel	54	shardpwm	122	tid delat	0.000978
vinkel	3.250000	error	50.750000	ønsked vinkel	54	shardpwm	129	tid delat	0.008016
vinkel	4.310000	error	49.690000	ønsked vinkel	54	shardpwm	22	tid delat	0.000991
vinkel	4.490000	error	49.510000	ønsked vinkel	54	shardpwm	111	tid delat	0.000998
vinkel	4.670000	error	49.330000	ønsked vinkel	54	shardpwm	111	tid delat	0.001014
vinkel	4.870000	error	49.130000	ønsked vinkel	54	shardpwm	126	tid delat	0.007991
vinkel	6.600000	error	47.400000	ønsked vinkel	54	shardpwm	-45	tid delat	0.001006
vinkel	6.970000	error	47.030000	ønsked vinkel	54	shardpwm	89	tid delat	0.001011
vinkel	7.190000	error	46.810000	ønsked vinkel	54	shardpwm	103	tid delat	0.000987
vinkel	7.610000	error	46.390000	ønsked vinkel	54	shardpwm	120	tid delat	0.007997
vinkel	10.060000	error	43.940000	ønsked vinkel	54	shardpwm	-122	tid delat	0.001000
vinkel	10.340000	error	43.660000	ønsked vinkel	54	shardpwm	94	tid delat	0.001004
vinkel	10.730000	error	47.270000	ønsked vinkel	58	shardpwm	187	tid delat	0.006007
vinkel	12.520000	error	45.480000	ønsked vinkel	58	shardpwm	-51	tid delat	0.001015
vinkel	12.930000	error	45.070000	ønsked vinkel	58	shardpwm	82	tid delat	0.000983
vinkel	13.300000	error	44.700000	ønsked vinkel	58	shardpwm	118	tid delat	0.005985
vinkel	15.240000	error	42.760000	ønsked vinkel	58	shardpwm	-72	tid delat	0.000999
vinkel	15.670000	error	42.330000	ønsked vinkel	58	shardpwm	77	tid delat	0.000994
vinkel	16.090000	error	41.910000	ønsked vinkel	58	shardpwm	113	tid delat	0.006015
vinkel	18.170000	error	39.830000	ønsked vinkel	58	shardpwm	-90	tid delat	0.001000
vinkel	18.620001	error	39.379999	ønsked vinkel	58	shardpwm	109	tid delat	0.005995
vinkel	20.770000	error	37.230000	ønsked vinkel	58	shardpwm	-101	tid delat	0.001000
vinkel	21.260000	error	36.740000	ønsked vinkel	58	shardpwm	64	tid delat	0.001000
vinkel	21.660000	error	36.340000	ønsked vinkel	58	shardpwm	106	tid delat	0.006009
vinkel	23.809999	error	34.190001	ønsked vinkel	58	shardpwm	-105	tid delat	0.000999
vinkel	24.170000	error	33.830000	ønsked vinkel	58	shardpwm	73	tid delat	0.001011
vinkel	24.660000	error	33.340000	ønsked vinkel	58	shardpwm	100	tid delat	0.005979
vinkel	26.700001	error	31.299999	ønsked vinkel	58	shardpwm	-99	tid delat	0.000996
vinkel	27.139999	error	30.860001	ønsked vinkel	58	shardpwm	61	tid delat	0.001024
vinkel	27.420000	error	30.580000	ønsked vinkel	58	shardpwm	99	tid delat	0.005982
vinkel	29.209999	error	28.790001	ønsked vinkel	58	shardpwm	-78	tid delat	0.000994
vinkel	29.559999	error	28.440001	ønsked vinkel	58	shardpwm	67	tid delat	0.001025
vinkel	29.940001	error	28.059999	ønsked vinkel	58	shardpwm	94	tid delat	0.005978
vinkel	31.719999	error	26.280001	ønsked vinkel	58	shardpwm	-78	tid delat	0.001007
vinkel	32.040001	error	25.959999	ønsked vinkel	58	shardpwm	66	tid delat	0.001001
vinkel	32.349998	error	25.650002	ønsked vinkel	58	shardpwm	91	tid delat	0.004989
vinkel	33.560001	error	24.439999	ønsked vinkel	58	shardpwm	-24	tid delat	0.001008
vinkel	33.869999	error	24.130001	ønsked vinkel	58	shardpwm	64	tid delat	0.001006
vinkel	34.090000	error	23.910000	ønsked vinkel	58	shardpwm	91	tid delat	0.005994
vinkel	35.310001	error	22.689999	ønsked vinkel	58	shardpwm	-28	tid delat	0.000998
vinkel	35.570000	error	22.430000	ønsked vinkel	58	shardpwm	67	tid delat	0.000998
vinkel	35.950001	error	22.049999	ønsked vinkel	58	shardpwm	86	tid delat	0.005998
vinkel	37.020000	error	20.980000	ønsked vinkel	58	shardpwm	-15	tid delat	0.001007
vinkel	37.209999	error	20.790001	ønsked vinkel	58	shardpwm	71	tid delat	0.000989
vinkel	37.389999	error	20.610001	ønsked vinkel	58	shardpwm	87	tid delat	0.005994
vinkel	38.380001	error	19.619999	ønsked vinkel	58	shardpwm	-8	tid delat	0.001013
vinkel	38.580002	error	19.419998	ønsked vinkel	58	shardpwm	69	tid delat	0.001008
vinkel	38.759998	error	19.240002	ønsked vinkel	58	shardpwm	85	tid delat	0.005988
vinkel	39.910000	error	18.090000	ønsked vinkel	58	shardpwm	-27	tid delat	0.000999
vinkel	40.240002	error	17.759998	ønsked vinkel	58	shardpwm	53	tid delat	0.000995
vinkel	40.410000	error	20.590000	ønsked vinkel	61	shardpwm	147	tid delat	0.005010
vinkel	41.209999	error	19.790001	ønsked vinkel	61	shardpwm	8	tid delat	0.000987
vinkel	41.349998	error	19.650002	ønsked vinkel	61	shardpwm	75	tid delat	0.001004
vinkel	41.520000	error	19.480000	ønsked vinkel	61	shardpwm	86	tid delat	0.005999
vinkel	42.680000	error	18.320000	ønsked vinkel	61	shardpwm	-27	tid delat	0.001005
vinkel	42.799999	error	18.200001	ønsked vinkel	61	shardpwm	75	tid delat	0.001000
vinkel	43.049999	error	17.950001	ønsked vinkel	61	shardpwm	83	tid delat	0.006005
vinkel	44.380001	error	16.619999	ønsked vinkel	61	shardpwm	-47	tid delat	0.000998
vinkel	44.660000	error	16.340000	ønsked vinkel	61	shardpwm	56	tid delat	0.000995
vinkel	44.939999	error	16.060001	ønsked vinkel	61	shardpwm	80	tid delat	0.006019
vinkel	46.110001	error	14.889999	ønsked vinkel	61	shardpwm	-36	tid delat	0.000982
vinkel	46.369999	error	14.630001	ønsked vinkel	61	shardpwm	56	tid delat	0.001005
vinkel	46.630001	error	14.369999	ønsked vinkel	61	shardpwm	77	tid delat	0.006004
vinkel	47.970001	error	13.029999	ønsked vinkel	61	shardpwm	-53	tid delat	0.001004
vinkel	48.230000	error	12.770000	ønsked vinkel	61	shardpwm	54	tid delat	0.001003
vinkel	48.509998	error	12.490002	ønsked vinkel	61	shardpwm	73	tid delat	0.004982
vinkel	49.650002	error	11.349998	ønsked vinkel	61	shardpwm	-35	tid delat	0.001010
vinkel	49.900002	error	11.099998	ønsked vinkel	61	shardpwm	52	tid delat	0.000993
vinkel	50.169998	error	10.830002	ønsked vinkel	61	shardpwm	72	tid delat	0.005999
vinkel	51.480000	error	9.520000	ønsked vinkel	61	shardpwm	-54	tid delat	0.001007
vinkel	51.759998	error	9.240002	ønsked vinkel	61	shardpwm	46	tid delat	0.001003
vinkel	51.950001	error	9.049999	ønsked vinkel	61	shardpwm	71	tid delat	0.005990
