Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	2.900000	i	2.711000	d	0.000000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.318758
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000013
vinkel	105.650002	error	-54.650002	ønsked vinkel	51	shardpwm	-205	tid delat	0.000007
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000006
vinkel	105.650002	error	-54.650002	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.650002	error	-54.650002	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.650002	error	-54.650002	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.660004	error	-54.660004	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.650002	error	-54.650002	ønsked vinkel	51	shardpwm	-205	tid delat	0.000005
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000062
vinkel	105.639999	error	-54.639999	ønsked vinkel	51	shardpwm	-205	tid delat	0.000057
vinkel	0.000000	error	51.000000	ønsked vinkel	51	shardpwm	100	tid delat	0.001875
vinkel	97.720001	error	-46.720001	ønsked vinkel	51	shardpwm	-182	tid delat	0.001039
vinkel	96.139999	error	-45.139999	ønsked vinkel	51	shardpwm	-178	tid delat	0.000973
vinkel	94.550003	error	-40.550003	ønsked vinkel	54	shardpwm	-165	tid delat	0.005985
vinkel	86.589996	error	-32.589996	ønsked vinkel	54	shardpwm	-142	tid delat	0.001005
vinkel	85.029999	error	-31.029999	ønsked vinkel	54	shardpwm	-138	tid delat	0.006006
vinkel	77.029999	error	-23.029999	ønsked vinkel	54	shardpwm	-115	tid delat	0.000995
vinkel	75.449997	error	-21.449997	ønsked vinkel	54	shardpwm	-110	tid delat	0.001031
vinkel	73.919998	error	-19.919998	ønsked vinkel	54	shardpwm	-106	tid delat	0.005971
vinkel	65.989998	error	-11.989998	ønsked vinkel	54	shardpwm	-83	tid delat	0.001000
vinkel	64.400002	error	-10.400002	ønsked vinkel	54	shardpwm	-79	tid delat	0.001000
vinkel	62.779999	error	-8.779999	ønsked vinkel	54	shardpwm	-74	tid delat	0.006000
vinkel	54.910000	error	-0.910000	ønsked vinkel	54	shardpwm	-51	tid delat	0.000996
vinkel	53.320000	error	0.680000	ønsked vinkel	54	shardpwm	-47	tid delat	0.001008
vinkel	51.730000	error	2.270000	ønsked vinkel	54	shardpwm	-42	tid delat	0.006010
vinkel	43.810001	error	10.189999	ønsked vinkel	54	shardpwm	-19	tid delat	0.000987
vinkel	42.209999	error	11.790001	ønsked vinkel	54	shardpwm	-14	tid delat	0.000993
vinkel	40.590000	error	13.410000	ønsked vinkel	54	shardpwm	-9	tid delat	0.006002
vinkel	32.540001	error	21.459999	ønsked vinkel	54	shardpwm	13	tid delat	0.000992
vinkel	30.870001	error	23.129999	ønsked vinkel	54	shardpwm	18	tid delat	0.007009
vinkel	25.680000	error	28.320000	ønsked vinkel	54	shardpwm	33	tid delat	0.000992
vinkel	25.490000	error	28.510000	ønsked vinkel	54	shardpwm	34	tid delat	0.007009
vinkel	24.830000	error	29.170000	ønsked vinkel	54	shardpwm	36	tid delat	0.001000
vinkel	24.680000	error	29.320000	ønsked vinkel	54	shardpwm	37	tid delat	0.001000
vinkel	24.530001	error	29.469999	ønsked vinkel	54	shardpwm	38	tid delat	0.006003
vinkel	23.620001	error	30.379999	ønsked vinkel	54	shardpwm	41	tid delat	0.000992
vinkel	23.500000	error	30.500000	ønsked vinkel	54	shardpwm	41	tid delat	0.001003
vinkel	23.280001	error	30.719999	ønsked vinkel	54	shardpwm	42	tid delat	0.005993
vinkel	22.240000	error	31.760000	ønsked vinkel	54	shardpwm	45	tid delat	0.001015
vinkel	21.980000	error	32.020000	ønsked vinkel	54	shardpwm	46	tid delat	0.000986
vinkel	21.730000	error	32.270000	ønsked vinkel	54	shardpwm	47	tid delat	0.006009
vinkel	20.379999	error	33.620001	ønsked vinkel	54	shardpwm	51	tid delat	0.000999
vinkel	20.080000	error	33.920000	ønsked vinkel	54	shardpwm	52	tid delat	0.000992
vinkel	19.790001	error	34.209999	ønsked vinkel	54	shardpwm	54	tid delat	0.006010
vinkel	18.280001	error	35.719999	ønsked vinkel	54	shardpwm	58	tid delat	0.000999
vinkel	17.930000	error	36.070000	ønsked vinkel	54	shardpwm	59	tid delat	0.000991
vinkel	17.700001	error	36.299999	ønsked vinkel	54	shardpwm	61	tid delat	0.006017
vinkel	16.330000	error	37.670000	ønsked vinkel	54	shardpwm	65	tid delat	0.000994
vinkel	16.040001	error	41.959999	ønsked vinkel	58	shardpwm	77	tid delat	0.001003
vinkel	15.810000	error	42.190000	ønsked vinkel	58	shardpwm	79	tid delat	0.006010
vinkel	14.580000	error	43.420000	ønsked vinkel	58	shardpwm	82	tid delat	0.000991
vinkel	14.350000	error	43.650000	ønsked vinkel	58	shardpwm	83	tid delat	0.000987
vinkel	14.230000	error	43.770000	ønsked vinkel	58	shardpwm	84	tid delat	0.007010
vinkel	13.080000	error	44.920000	ønsked vinkel	58	shardpwm	88	tid delat	0.000992
vinkel	12.910000	error	45.090000	ønsked vinkel	58	shardpwm	88	tid delat	0.001007
vinkel	12.750000	error	45.250000	ønsked vinkel	58	shardpwm	89	tid delat	0.006040
vinkel	12.130000	error	45.870000	ønsked vinkel	58	shardpwm	91	tid delat	0.000983
vinkel	12.000000	error	46.000000	ønsked vinkel	58	shardpwm	92	tid delat	0.000999
vinkel	11.920000	error	46.080000	ønsked vinkel	58	shardpwm	93	tid delat	0.006004
vinkel	11.280000	error	46.720000	ønsked vinkel	58	shardpwm	95	tid delat	0.001003
vinkel	11.200000	error	46.800000	ønsked vinkel	58	shardpwm	95	tid delat	0.001005
vinkel	11.040000	error	46.960000	ønsked vinkel	58	shardpwm	96	tid delat	0.005973
vinkel	10.810000	error	47.190000	ønsked vinkel	58	shardpwm	97	tid delat	0.000993
vinkel	10.790000	error	47.210000	ønsked vinkel	58	shardpwm	97	tid delat	0.001003
vinkel	10.740000	error	47.260000	ønsked vinkel	58	shardpwm	98	tid delat	0.006006
vinkel	10.700000	error	47.300000	ønsked vinkel	58	shardpwm	99	tid delat	0.000990
vinkel	10.720000	error	47.280000	ønsked vinkel	58	shardpwm	99	tid delat	0.001004
vinkel	10.650000	error	47.350000	ønsked vinkel	58	shardpwm	100	tid delat	0.006002
vinkel	10.620000	error	47.380000	ønsked vinkel	58	shardpwm	100	tid delat	0.001008
vinkel	10.630000	error	47.370000	ønsked vinkel	58	shardpwm	100	tid delat	0.000993
vinkel	10.660000	error	47.340000	ønsked vinkel	58	shardpwm	101	tid delat	0.006013
vinkel	10.770000	error	47.230000	ønsked vinkel	58	shardpwm	100	tid delat	0.000978
vinkel	10.800000	error	47.200000	ønsked vinkel	58	shardpwm	100	tid delat	0.001006
vinkel	10.840000	error	47.160000	ønsked vinkel	58	shardpwm	101	tid delat	0.006005
vinkel	11.130000	error	46.870000	ønsked vinkel	58	shardpwm	100	tid delat	0.001001
vinkel	11.330000	error	46.670000	ønsked vinkel	58	shardpwm	100	tid delat	0.000999
vinkel	11.420000	error	46.580000	ønsked vinkel	58	shardpwm	101	tid delat	0.006994
vinkel	11.960000	error	46.040000	ønsked vinkel	58	shardpwm	99	tid delat	0.001006
vinkel	12.120000	error	45.880000	ønsked vinkel	58	shardpwm	99	tid delat	0.006036
vinkel	12.810000	error	45.190000	ønsked vinkel	58	shardpwm	98	tid delat	0.000954
vinkel	13.030000	error	44.970000	ønsked vinkel	58	shardpwm	97	tid delat	0.001007
vinkel	13.190000	error	44.810000	ønsked vinkel	58	shardpwm	97	tid delat	0.006000
vinkel	14.140000	error	43.860000	ønsked vinkel	58	shardpwm	95	tid delat	0.001014
vinkel	14.360000	error	43.640000	ønsked vinkel	58	shardpwm	94	tid delat	0.000989
vinkel	14.580000	error	43.420000	ønsked vinkel	58	shardpwm	94	tid delat	0.000995
vinkel	14.830000	error	46.170000	ønsked vinkel	61	shardpwm	102	tid delat	0.006005
vinkel	16.190001	error	44.809999	ønsked vinkel	61	shardpwm	99	tid delat	0.000986
vinkel	16.469999	error	44.530001	ønsked vinkel	61	shardpwm	98	tid delat	0.001020
vinkel	16.760000	error	44.240000	ønsked vinkel	61	shardpwm	98	tid delat	0.006016
vinkel	18.120001	error	42.879999	ønsked vinkel	61	shardpwm	94	tid delat	0.000990
vinkel	18.400000	error	42.600000	ønsked vinkel	61	shardpwm	94	tid delat	0.005977
vinkel	19.990000	error	41.010000	ønsked vinkel	61	shardpwm	89	tid delat	0.001003
vinkel	20.340000	error	40.660000	ønsked vinkel	61	shardpwm	88	tid delat	0.001000
vinkel	20.650000	error	40.350000	ønsked vinkel	61	shardpwm	88	tid delat	0.006005
vinkel	22.330000	error	38.670000	ønsked vinkel	61	shardpwm	83	tid delat	0.001005
vinkel	22.670000	error	38.330000	ønsked vinkel	61	shardpwm	82	tid delat	0.001000
vinkel	22.910000	error	38.090000	ønsked vinkel	61	shardpwm	82	tid delat	0.005985
vinkel	24.809999	error	36.190001	ønsked vinkel	61	shardpwm	77	tid delat	0.001003
vinkel	25.170000	error	35.830000	ønsked vinkel	61	shardpwm	76	tid delat	0.000995
vinkel	25.559999	error	35.440001	ønsked vinkel	61	shardpwm	75	tid delat	0.006002
vinkel	27.430000	error	33.570000	ønsked vinkel	61	shardpwm	70	tid delat	0.001006
vinkel	27.790001	error	33.209999	ønsked vinkel	61	shardpwm	69	tid delat	0.001002
vinkel	28.150000	error	32.850000	ønsked vinkel	61	shardpwm	69	tid delat	0.006001
vinkel	30.209999	error	30.790001	ønsked vinkel	61	shardpwm	63	tid delat	0.000993
