Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	1.900000	i	0.611000	d	0.200000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	92.320000	error	-41.320000	ønsked vinkel	51	shardpwm	-94	tid delat	0.617524
vinkel	5.460000	error	45.540000	ønsked vinkel	51	shardpwm	255	tid delat	0.000014
vinkel	67.000000	error	-16.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000007
vinkel	6.000000	error	45.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000006
vinkel	85.470001	error	-34.470001	ønsked vinkel	51	shardpwm	-255	tid delat	0.000006
vinkel	2.080000	error	48.920000	ønsked vinkel	51	shardpwm	255	tid delat	0.000006
vinkel	0.460000	error	50.540000	ønsked vinkel	51	shardpwm	255	tid delat	0.000006
vinkel	2.000000	error	49.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000006
:(vinkel	85.440002	error	-34.440002	ønsked vinkel	51	shardpwm	-255	tid delat	0.000007
vinkel	0.320000	error	50.680000	ønsked vinkel	51	shardpwm	255	tid delat	0.000005
vinkel	46.000000	error	5.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000005
vinkel	85.449997	error	-34.449997	ønsked vinkel	51	shardpwm	-255	tid delat	0.000005
vinkel	92.320000	error	-41.320000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000005
vinkel	5.450000	error	45.550000	ønsked vinkel	51	shardpwm	255	tid delat	0.000005
vinkel	32.000000	error	19.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000067
vinkel	5.000000	error	46.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000005
vinkel	85.459999	error	-34.459999	ønsked vinkel	51	shardpwm	-255	tid delat	0.000051
vinkel	5.000000	error	46.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.001732
vinkel	76.940002	error	-25.940002	ønsked vinkel	51	shardpwm	-255	tid delat	0.001030
vinkel	75.250000	error	-24.250000	ønsked vinkel	51	shardpwm	255	tid delat	0.000982
vinkel	73.550003	error	-22.550003	ønsked vinkel	51	shardpwm	255	tid delat	0.000996
vinkel	71.860001	error	-17.860001	ønsked vinkel	54	shardpwm	84	tid delat	0.006990
vinkel	61.680000	error	-7.680000	ønsked vinkel	54	shardpwm	255	tid delat	0.001004
vinkel	59.980000	error	-5.980000	ønsked vinkel	54	shardpwm	255	tid delat	0.001021
vinkel	58.290001	error	-4.290001	ønsked vinkel	54	shardpwm	255	tid delat	0.001005
vinkel	56.599998	error	-2.599998	ønsked vinkel	54	shardpwm	21	tid delat	0.007981
vinkel	44.680000	error	9.320000	ønsked vinkel	54	shardpwm	255	tid delat	0.001008
vinkel	42.990002	error	11.009998	ønsked vinkel	54	shardpwm	255	tid delat	0.000990
vinkel	41.290001	error	12.709999	ønsked vinkel	54	shardpwm	255	tid delat	0.001019
vinkel	39.590000	error	14.410000	ønsked vinkel	54	shardpwm	60	tid delat	0.007026
vinkel	29.370001	error	24.629999	ønsked vinkel	54	shardpwm	255	tid delat	0.000992
vinkel	27.680000	error	26.320000	ønsked vinkel	54	shardpwm	255	tid delat	0.000994
vinkel	25.980000	error	28.020000	ønsked vinkel	54	shardpwm	255	tid delat	0.001003
vinkel	24.280001	error	29.719999	ønsked vinkel	54	shardpwm	255	tid delat	0.000996
vinkel	22.580000	error	31.420000	ønsked vinkel	54	shardpwm	100	tid delat	0.006003
vinkel	14.030000	error	39.970000	ønsked vinkel	54	shardpwm	255	tid delat	0.000963
vinkel	12.340000	error	41.660000	ønsked vinkel	54	shardpwm	255	tid delat	0.001041
vinkel	10.640000	error	43.360000	ønsked vinkel	54	shardpwm	255	tid delat	0.000992
vinkel	8.950000	error	45.050000	ønsked vinkel	54	shardpwm	255	tid delat	0.001002
vinkel	7.250000	error	46.750000	ønsked vinkel	54	shardpwm	102	tid delat	0.011966
vinkel	0.630000	error	53.370000	ønsked vinkel	54	shardpwm	255	tid delat	0.001004
vinkel	0.560000	error	53.440000	ønsked vinkel	54	shardpwm	100	tid delat	0.001009
vinkel	0.530000	error	53.470000	ønsked vinkel	54	shardpwm	92	tid delat	0.001002
vinkel	0.530000	error	53.470000	ønsked vinkel	54	shardpwm	86	tid delat	0.000994
vinkel	0.500000	error	53.500000	ønsked vinkel	54	shardpwm	91	tid delat	0.001201
vinkel	0.530000	error	53.470000	ønsked vinkel	54	shardpwm	86	tid delat	0.010794
vinkel	0.550000	error	53.450000	ønsked vinkel	54	shardpwm	83	tid delat	0.000995
vinkel	0.550000	error	53.450000	ønsked vinkel	54	shardpwm	87	tid delat	0.001014
vinkel	0.550000	error	53.450000	ønsked vinkel	54	shardpwm	87	tid delat	0.001025
vinkel	0.570000	error	53.430000	ønsked vinkel	54	shardpwm	83	tid delat	0.001001
vinkel	0.570000	error	53.430000	ønsked vinkel	54	shardpwm	87	tid delat	0.000992
vinkel	0.590000	error	53.410000	ønsked vinkel	54	shardpwm	83	tid delat	0.001026
vinkel	0.590000	error	53.410000	ønsked vinkel	54	shardpwm	87	tid delat	0.011986
vinkel	0.730000	error	53.270000	ønsked vinkel	54	shardpwm	58	tid delat	0.000981
vinkel	0.720000	error	53.280000	ønsked vinkel	54	shardpwm	89	tid delat	0.001002
vinkel	0.750000	error	53.250000	ønsked vinkel	54	shardpwm	81	tid delat	0.000971
vinkel	0.760000	error	53.240000	ønsked vinkel	54	shardpwm	85	tid delat	0.001022
vinkel	0.760000	error	53.240000	ønsked vinkel	54	shardpwm	87	tid delat	0.001032
vinkel	0.660000	error	57.340000	ønsked vinkel	58	shardpwm	170	tid delat	0.010960
vinkel	0.460000	error	57.540000	ønsked vinkel	58	shardpwm	134	tid delat	0.001037
vinkel	0.400000	error	57.600000	ønsked vinkel	58	shardpwm	108	tid delat	0.000992
vinkel	0.450000	error	57.550000	ønsked vinkel	58	shardpwm	85	tid delat	0.000978
vinkel	0.350000	error	57.650000	ønsked vinkel	58	shardpwm	116	tid delat	0.000973
vinkel	0.410000	error	57.590000	ønsked vinkel	58	shardpwm	84	tid delat	0.001034
vinkel	0.430000	error	57.570000	ønsked vinkel	58	shardpwm	96	tid delat	0.011986
vinkel	0.390000	error	57.610000	ønsked vinkel	58	shardpwm	104	tid delat	0.000992
vinkel	0.410000	error	57.590000	ønsked vinkel	58	shardpwm	92	tid delat	0.001010
vinkel	0.380000	error	57.620000	ønsked vinkel	58	shardpwm	102	tid delat	0.001027
vinkel	0.280000	error	57.720000	ønsked vinkel	58	shardpwm	117	tid delat	0.000985
vinkel	0.400000	error	57.600000	ønsked vinkel	58	shardpwm	73	tid delat	0.001012
vinkel	0.330000	error	57.670000	ønsked vinkel	58	shardpwm	111	tid delat	0.000970
vinkel	0.330000	error	57.670000	ønsked vinkel	58	shardpwm	97	tid delat	0.011018
vinkel	0.480000	error	57.520000	ønsked vinkel	58	shardpwm	67	tid delat	0.001005
vinkel	0.550000	error	57.450000	ønsked vinkel	58	shardpwm	83	tid delat	0.000996
vinkel	0.600000	error	57.400000	ønsked vinkel	58	shardpwm	86	tid delat	0.000977
vinkel	0.650000	error	57.350000	ønsked vinkel	58	shardpwm	86	tid delat	0.000994
vinkel	0.730000	error	57.270000	ønsked vinkel	58	shardpwm	95	tid delat	0.009036
vinkel	1.740000	error	56.260000	ønsked vinkel	58	shardpwm	-108	tid delat	0.000993
vinkel	1.850000	error	56.150000	ønsked vinkel	58	shardpwm	73	tid delat	0.001006
vinkel	1.970000	error	56.030000	ønsked vinkel	58	shardpwm	70	tid delat	0.000994
vinkel	2.030000	error	55.970000	ønsked vinkel	58	shardpwm	93	tid delat	0.007976
vinkel	3.220000	error	54.780000	ønsked vinkel	58	shardpwm	-142	tid delat	0.001010
vinkel	3.410000	error	54.590000	ønsked vinkel	58	shardpwm	53	tid delat	0.000986
vinkel	3.470000	error	54.530000	ønsked vinkel	58	shardpwm	91	tid delat	0.007997
vinkel	4.920000	error	53.080000	ønsked vinkel	58	shardpwm	-186	tid delat	0.001049
vinkel	5.150000	error	52.850000	ønsked vinkel	58	shardpwm	42	tid delat	0.000985
vinkel	5.340000	error	52.660000	ønsked vinkel	58	shardpwm	50	tid delat	0.000972
vinkel	5.530000	error	52.470000	ønsked vinkel	58	shardpwm	84	tid delat	0.008007
vinkel	7.440000	error	50.560000	ønsked vinkel	58	shardpwm	-255	tid delat	0.000999
vinkel	7.770000	error	50.230000	ønsked vinkel	58	shardpwm	20	tid delat	0.001025
vinkel	8.140000	error	49.860000	ønsked vinkel	58	shardpwm	9	tid delat	0.000996
vinkel	8.440000	error	49.560000	ønsked vinkel	58	shardpwm	76	tid delat	0.007969
vinkel	10.380000	error	47.620000	ønsked vinkel	58	shardpwm	-255	tid delat	0.001006
vinkel	10.670000	error	47.330000	ønsked vinkel	58	shardpwm	22	tid delat	0.001010
vinkel	10.970000	error	50.030000	ønsked vinkel	61	shardpwm	174	tid delat	0.006018
vinkel	12.270000	error	48.730000	ønsked vinkel	61	shardpwm	-178	tid delat	0.000995
vinkel	12.530000	error	48.470000	ønsked vinkel	61	shardpwm	31	tid delat	0.001018
vinkel	12.730000	error	48.270000	ønsked vinkel	61	shardpwm	75	tid delat	0.005973
vinkel	14.320000	error	46.680000	ønsked vinkel	61	shardpwm	-244	tid delat	0.000984
vinkel	14.630000	error	46.370000	ønsked vinkel	61	shardpwm	16	tid delat	0.001004
vinkel	14.870000	error	46.130000	ønsked vinkel	61	shardpwm	70	tid delat	0.005997
vinkel	16.389999	error	44.610001	ønsked vinkel	61	shardpwm	-230	tid delat	0.000996
vinkel	16.680000	error	44.320000	ønsked vinkel	61	shardpwm	16	tid delat	0.000999
vinkel	17.100000	error	43.900000	ønsked vinkel	61	shardpwm	60	tid delat	0.006007
vinkel	18.740000	error	42.260000	ønsked vinkel	61	shardpwm	-255	tid delat	0.000992
vinkel	19.049999	error	41.950001	ønsked vinkel	61	shardpwm	8	tid delat	0.000995
vinkel	19.350000	error	41.650000	ønsked vinkel	61	shardpwm	59	tid delat	0.006006
vinkel	20.910000	error	40.090000	ønsked vinkel	61	shardpwm	-246	tid delat	0.000994
vinkel	21.260000	error	39.740000	ønsked vinkel	61	shardpwm	54	tid delat	0.005997
vinkel	22.660000	error	38.340000	ønsked vinkel	61	shardpwm	-214	tid delat	0.001007
vinkel	22.879999	error	38.120001	ønsked vinkel	61	shardpwm	19	tid delat	0.001010
