Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	1.900000	i	5.711000	d	0.000000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	24.650000	error	26.350000	ønsked vinkel	51	shardpwm	58	tid delat	0.053049
vinkel	0.550000	error	50.450000	ønsked vinkel	51	shardpwm	103	tid delat	0.000016
vinkel	66.000000	error	-15.000000	ønsked vinkel	51	shardpwm	-20	tid delat	0.000007
vinkel	24.670000	error	26.330000	ønsked vinkel	51	shardpwm	58	tid delat	0.000010
vinkel	31.549999	error	19.450001	ønsked vinkel	51	shardpwm	44	tid delat	0.000009
vinkel	4.670000	error	46.330000	ønsked vinkel	51	shardpwm	96	tid delat	0.000008
vinkel	55.000000	error	-4.000000	ønsked vinkel	51	shardpwm	0	tid delat	0.000007
vinkel	6.000000	error	45.000000	ønsked vinkel	51	shardpwm	93	tid delat	0.000008
vinkel	24.660000	error	26.340000	ønsked vinkel	51	shardpwm	58	tid delat	0.000007
vinkel	1.670000	error	49.330000	ønsked vinkel	51	shardpwm	101	tid delat	0.000005
vinkel	0.660000	error	50.340000	ønsked vinkel	51	shardpwm	103	tid delat	0.000005
vinkel	4.000000	error	47.000000	ønsked vinkel	51	shardpwm	97	tid delat	0.000005
:(vinkel	24.670000	error	26.330000	ønsked vinkel	51	shardpwm	58	tid delat	0.000007
vinkel	0.550000	error	50.450000	ønsked vinkel	51	shardpwm	103	tid delat	0.000005
vinkel	68.000000	error	-17.000000	ønsked vinkel	51	shardpwm	-24	tid delat	0.000055
vinkel	24.680000	error	26.320000	ønsked vinkel	51	shardpwm	58	tid delat	0.000005
vinkel	24.670000	error	26.330000	ønsked vinkel	51	shardpwm	58	tid delat	0.000022
vinkel	24.680000	error	26.320000	ønsked vinkel	51	shardpwm	58	tid delat	0.000852
vinkel	24.680000	error	26.320000	ønsked vinkel	51	shardpwm	58	tid delat	0.001004
vinkel	24.680000	error	26.320000	ønsked vinkel	51	shardpwm	58	tid delat	0.000998
vinkel	24.709999	error	29.290001	ønsked vinkel	54	shardpwm	65	tid delat	0.005999
vinkel	24.740000	error	29.260000	ønsked vinkel	54	shardpwm	65	tid delat	0.001009
vinkel	24.760000	error	29.240000	ønsked vinkel	54	shardpwm	65	tid delat	0.001000
vinkel	24.760000	error	29.240000	ønsked vinkel	54	shardpwm	66	tid delat	0.005997
vinkel	24.900000	error	29.100000	ønsked vinkel	54	shardpwm	66	tid delat	0.001003
vinkel	24.910000	error	29.090000	ønsked vinkel	54	shardpwm	66	tid delat	0.000993
vinkel	24.910000	error	29.090000	ønsked vinkel	54	shardpwm	67	tid delat	0.006002
vinkel	24.930000	error	29.070000	ønsked vinkel	54	shardpwm	67	tid delat	0.001012
vinkel	24.930000	error	29.070000	ønsked vinkel	54	shardpwm	67	tid delat	0.000990
vinkel	24.940001	error	29.059999	ønsked vinkel	54	shardpwm	68	tid delat	0.005995
vinkel	25.070000	error	28.930000	ønsked vinkel	54	shardpwm	68	tid delat	0.001014
vinkel	25.080000	error	28.920000	ønsked vinkel	54	shardpwm	68	tid delat	0.001003
vinkel	25.129999	error	28.870001	ønsked vinkel	54	shardpwm	69	tid delat	0.004989
vinkel	25.190001	error	28.809999	ønsked vinkel	54	shardpwm	69	tid delat	0.000995
vinkel	25.200001	error	28.799999	ønsked vinkel	54	shardpwm	69	tid delat	0.001009
vinkel	25.260000	error	28.740000	ønsked vinkel	54	shardpwm	70	tid delat	0.006001
vinkel	25.350000	error	28.650000	ønsked vinkel	54	shardpwm	70	tid delat	0.000991
vinkel	25.370001	error	28.629999	ønsked vinkel	54	shardpwm	70	tid delat	0.001008
vinkel	25.410000	error	28.590000	ønsked vinkel	54	shardpwm	71	tid delat	0.005997
vinkel	25.790001	error	28.209999	ønsked vinkel	54	shardpwm	70	tid delat	0.001001
vinkel	25.840000	error	28.160000	ønsked vinkel	54	shardpwm	71	tid delat	0.001013
vinkel	25.879999	error	28.120001	ønsked vinkel	54	shardpwm	71	tid delat	0.005984
vinkel	26.170000	error	27.830000	ønsked vinkel	54	shardpwm	71	tid delat	0.000997
vinkel	26.209999	error	27.790001	ønsked vinkel	54	shardpwm	71	tid delat	0.001005
vinkel	26.250000	error	27.750000	ønsked vinkel	54	shardpwm	72	tid delat	0.005025
vinkel	26.379999	error	27.620001	ønsked vinkel	54	shardpwm	72	tid delat	0.001000
vinkel	26.530001	error	27.469999	ønsked vinkel	54	shardpwm	72	tid delat	0.000972
vinkel	26.559999	error	27.440001	ønsked vinkel	54	shardpwm	72	tid delat	0.005992
vinkel	26.910000	error	27.090000	ønsked vinkel	54	shardpwm	72	tid delat	0.001032
vinkel	26.980000	error	27.020000	ønsked vinkel	54	shardpwm	72	tid delat	0.000986
vinkel	27.090000	error	26.910000	ønsked vinkel	54	shardpwm	73	tid delat	0.005987
vinkel	27.620001	error	26.379999	ønsked vinkel	54	shardpwm	72	tid delat	0.001029
vinkel	27.740000	error	26.260000	ønsked vinkel	54	shardpwm	72	tid delat	0.000984
vinkel	27.840000	error	26.160000	ønsked vinkel	54	shardpwm	72	tid delat	0.005994
vinkel	28.290001	error	25.709999	ønsked vinkel	54	shardpwm	72	tid delat	0.001003
vinkel	28.360001	error	25.639999	ønsked vinkel	54	shardpwm	72	tid delat	0.000994
vinkel	28.500000	error	25.500000	ønsked vinkel	54	shardpwm	72	tid delat	0.005004
vinkel	29.040001	error	24.959999	ønsked vinkel	54	shardpwm	71	tid delat	0.001000
vinkel	29.200001	error	24.799999	ønsked vinkel	54	shardpwm	71	tid delat	0.000996
vinkel	29.370001	error	28.629999	ønsked vinkel	58	shardpwm	79	tid delat	0.005991
vinkel	30.110001	error	27.889999	ønsked vinkel	58	shardpwm	78	tid delat	0.001008
vinkel	30.219999	error	27.780001	ønsked vinkel	58	shardpwm	78	tid delat	0.000994
vinkel	30.320000	error	27.680000	ønsked vinkel	58	shardpwm	79	tid delat	0.006002
vinkel	31.180000	error	26.820000	ønsked vinkel	58	shardpwm	77	tid delat	0.001005
vinkel	31.350000	error	26.650000	ønsked vinkel	58	shardpwm	77	tid delat	0.000994
vinkel	31.490000	error	26.510000	ønsked vinkel	58	shardpwm	78	tid delat	0.006017
vinkel	32.349998	error	25.650002	ønsked vinkel	58	shardpwm	76	tid delat	0.001010
vinkel	32.529999	error	25.470001	ønsked vinkel	58	shardpwm	76	tid delat	0.000977
vinkel	32.709999	error	25.290001	ønsked vinkel	58	shardpwm	77	tid delat	0.006001
vinkel	33.759998	error	24.240002	ønsked vinkel	58	shardpwm	75	tid delat	0.001010
vinkel	33.939999	error	24.060001	ønsked vinkel	58	shardpwm	75	tid delat	0.005998
vinkel	34.849998	error	23.150002	ønsked vinkel	58	shardpwm	74	tid delat	0.000999
vinkel	35.049999	error	22.950001	ønsked vinkel	58	shardpwm	74	tid delat	0.000992
vinkel	35.279999	error	22.720001	ønsked vinkel	58	shardpwm	74	tid delat	0.005996
vinkel	36.330002	error	21.669998	ønsked vinkel	58	shardpwm	72	tid delat	0.001011
vinkel	36.560001	error	21.439999	ønsked vinkel	58	shardpwm	72	tid delat	0.001008
vinkel	36.750000	error	21.250000	ønsked vinkel	58	shardpwm	72	tid delat	0.005982
vinkel	37.869999	error	20.130001	ønsked vinkel	58	shardpwm	70	tid delat	0.001005
vinkel	38.099998	error	19.900002	ønsked vinkel	58	shardpwm	70	tid delat	0.000998
vinkel	38.330002	error	19.669998	ønsked vinkel	58	shardpwm	70	tid delat	0.006000
vinkel	39.470001	error	18.529999	ønsked vinkel	58	shardpwm	68	tid delat	0.001005
vinkel	39.740002	error	18.259998	ønsked vinkel	58	shardpwm	67	tid delat	0.000993
vinkel	39.970001	error	18.029999	ønsked vinkel	58	shardpwm	68	tid delat	0.005014
vinkel	40.840000	error	17.160000	ønsked vinkel	58	shardpwm	66	tid delat	0.000995
vinkel	41.130001	error	16.869999	ønsked vinkel	58	shardpwm	66	tid delat	0.001014
vinkel	41.419998	error	16.580002	ønsked vinkel	58	shardpwm	66	tid delat	0.005983
vinkel	42.720001	error	15.279999	ønsked vinkel	58	shardpwm	63	tid delat	0.000995
vinkel	42.959999	error	15.040001	ønsked vinkel	58	shardpwm	63	tid delat	0.001007
vinkel	43.200001	error	14.799999	ønsked vinkel	58	shardpwm	63	tid delat	0.006011
vinkel	44.529999	error	13.470001	ønsked vinkel	58	shardpwm	60	tid delat	0.000989
vinkel	44.790001	error	13.209999	ønsked vinkel	58	shardpwm	60	tid delat	0.001001
vinkel	45.000000	error	13.000000	ønsked vinkel	58	shardpwm	60	tid delat	0.006002
vinkel	46.380001	error	11.619999	ønsked vinkel	58	shardpwm	57	tid delat	0.000988
vinkel	46.689999	error	11.310001	ønsked vinkel	58	shardpwm	57	tid delat	0.001022
vinkel	47.000000	error	11.000000	ønsked vinkel	58	shardpwm	57	tid delat	0.005998
vinkel	48.480000	error	9.520000	ønsked vinkel	58	shardpwm	54	tid delat	0.000986
vinkel	48.799999	error	9.200001	ønsked vinkel	58	shardpwm	53	tid delat	0.000993
vinkel	49.090000	error	11.910000	ønsked vinkel	61	shardpwm	59	tid delat	0.006043
vinkel	50.610001	error	10.389999	ønsked vinkel	61	shardpwm	56	tid delat	0.000959
vinkel	51.000000	error	10.000000	ønsked vinkel	61	shardpwm	56	tid delat	0.006002
vinkel	52.439999	error	8.560001	ønsked vinkel	61	shardpwm	53	tid delat	0.000998
vinkel	52.689999	error	8.310001	ønsked vinkel	61	shardpwm	53	tid delat	0.001022
vinkel	52.990002	error	8.009998	ønsked vinkel	61	shardpwm	52	tid delat	0.005980
vinkel	54.500000	error	6.500000	ønsked vinkel	61	shardpwm	50	tid delat	0.000997
vinkel	54.810001	error	6.189999	ønsked vinkel	61	shardpwm	49	tid delat	0.001018
vinkel	55.099998	error	5.900002	ønsked vinkel	61	shardpwm	49	tid delat	0.005987
vinkel	56.480000	error	4.520000	ønsked vinkel	61	shardpwm	46	tid delat	0.000993
vinkel	56.820000	error	4.180000	ønsked vinkel	61	shardpwm	45	tid delat	0.001005
vinkel	57.139999	error	3.860001	ønsked vinkel	61	shardpwm	45	tid delat	0.006005
vinkel	58.619999	error	2.380001	ønsked vinkel	61	shardpwm	42	tid delat	0.001007
vinkel	58.910000	error	2.090000	ønsked vinkel	61	shardpwm	42	tid delat	0.000997
vinkel	59.189999	error	1.810001	ønsked vinkel	61	shardpwm	41	tid delat	0.006004
