Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	1.500000	i	1.111000	d	0.100000	min	-190.000000	max	190.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	4.000000	error	47.000000	ønsked vinkel	51	shardpwm	79	tid delat	0.167708
vinkel	0.900000	error	50.100000	ønsked vinkel	51	shardpwm	190	tid delat	0.000015
vinkel	0.900000	error	50.100000	ønsked vinkel	51	shardpwm	83	tid delat	0.000007
vinkel	8.000000	error	43.000000	ønsked vinkel	51	shardpwm	-190	tid delat	0.000006
vinkel	7.620000	error	43.380000	ønsked vinkel	51	shardpwm	190	tid delat	0.000006
vinkel	62.000000	error	-11.000000	ønsked vinkel	51	shardpwm	-190	tid delat	0.000005
vinkel	0.900000	error	50.100000	ønsked vinkel	51	shardpwm	190	tid delat	0.000006
vinkel	0.880000	error	50.120000	ønsked vinkel	51	shardpwm	190	tid delat	0.000005
vinkel	88.000000	error	-37.000000	ønsked vinkel	51	shardpwm	-190	tid delat	0.000005
:(vinkel	0.740000	error	50.260000	ønsked vinkel	51	shardpwm	190	tid delat	0.000007
vinkel	4.000000	error	47.000000	ønsked vinkel	51	shardpwm	-190	tid delat	0.000005
vinkel	0.900000	error	50.100000	ønsked vinkel	51	shardpwm	190	tid delat	0.000005
vinkel	0.920000	error	50.080000	ønsked vinkel	51	shardpwm	-190	tid delat	0.000005
vinkel	9.000000	error	42.000000	ønsked vinkel	51	shardpwm	-190	tid delat	0.000005
vinkel	8.090000	error	42.910000	ønsked vinkel	51	shardpwm	190	tid delat	0.000053
vinkel	86.000000	error	-35.000000	ønsked vinkel	51	shardpwm	-190	tid delat	0.000005
vinkel	0.880000	error	50.120000	ønsked vinkel	51	shardpwm	190	tid delat	0.000045
vinkel	2.000000	error	49.000000	ønsked vinkel	51	shardpwm	-54	tid delat	0.000819
vinkel	0.870000	error	50.130000	ønsked vinkel	51	shardpwm	190	tid delat	0.001004
vinkel	0.870000	error	50.130000	ønsked vinkel	51	shardpwm	84	tid delat	0.001008
vinkel	0.870000	error	50.130000	ønsked vinkel	51	shardpwm	84	tid delat	0.000993
vinkel	0.900000	error	53.100000	ønsked vinkel	54	shardpwm	116	tid delat	0.011026
vinkel	0.710000	error	53.290000	ønsked vinkel	54	shardpwm	108	tid delat	0.000989
vinkel	0.760000	error	53.240000	ønsked vinkel	54	shardpwm	84	tid delat	0.001002
vinkel	0.720000	error	53.280000	ønsked vinkel	54	shardpwm	93	tid delat	0.000988
vinkel	0.720000	error	53.280000	ønsked vinkel	54	shardpwm	89	tid delat	0.001003
vinkel	0.720000	error	53.280000	ønsked vinkel	54	shardpwm	89	tid delat	0.000990
vinkel	0.720000	error	53.280000	ønsked vinkel	54	shardpwm	90	tid delat	0.010039
vinkel	0.520000	error	53.480000	ønsked vinkel	54	shardpwm	110	tid delat	0.000995
vinkel	0.510000	error	53.490000	ønsked vinkel	54	shardpwm	91	tid delat	0.000980
vinkel	0.520000	error	53.480000	ønsked vinkel	54	shardpwm	89	tid delat	0.000993
vinkel	0.510000	error	53.490000	ønsked vinkel	54	shardpwm	91	tid delat	0.001005
vinkel	0.530000	error	53.470000	ønsked vinkel	54	shardpwm	89	tid delat	0.000995
vinkel	0.470000	error	53.530000	ønsked vinkel	54	shardpwm	92	tid delat	0.012039
vinkel	0.540000	error	53.460000	ønsked vinkel	54	shardpwm	84	tid delat	0.000962
vinkel	0.500000	error	53.500000	ønsked vinkel	54	shardpwm	95	tid delat	0.001004
vinkel	0.510000	error	53.490000	ønsked vinkel	54	shardpwm	90	tid delat	0.000996
vinkel	0.520000	error	53.480000	ønsked vinkel	54	shardpwm	91	tid delat	0.001017
vinkel	0.530000	error	53.470000	ønsked vinkel	54	shardpwm	92	tid delat	0.010992
vinkel	0.850000	error	53.150000	ønsked vinkel	54	shardpwm	60	tid delat	0.001004
vinkel	0.910000	error	53.090000	ønsked vinkel	54	shardpwm	86	tid delat	0.001014
vinkel	0.950000	error	53.050000	ønsked vinkel	54	shardpwm	88	tid delat	0.000991
vinkel	1.000000	error	53.000000	ønsked vinkel	54	shardpwm	87	tid delat	0.000988
vinkel	1.000000	error	53.000000	ønsked vinkel	54	shardpwm	92	tid delat	0.007003
vinkel	1.490000	error	52.510000	ønsked vinkel	54	shardpwm	42	tid delat	0.000994
vinkel	1.540000	error	52.460000	ønsked vinkel	54	shardpwm	86	tid delat	0.000995
vinkel	1.680000	error	52.320000	ønsked vinkel	54	shardpwm	78	tid delat	0.001024
vinkel	1.750000	error	52.250000	ønsked vinkel	54	shardpwm	91	tid delat	0.008024
vinkel	3.010000	error	50.990000	ønsked vinkel	54	shardpwm	-42	tid delat	0.000952
vinkel	3.300000	error	50.700000	ønsked vinkel	54	shardpwm	61	tid delat	0.001009
vinkel	3.390000	error	50.610000	ønsked vinkel	54	shardpwm	80	tid delat	0.000992
vinkel	3.540000	error	50.460000	ønsked vinkel	54	shardpwm	88	tid delat	0.008003
vinkel	5.020000	error	48.980000	ønsked vinkel	54	shardpwm	-59	tid delat	0.001003
vinkel	5.190000	error	48.810000	ønsked vinkel	54	shardpwm	70	tid delat	0.000994
vinkel	5.440000	error	48.560000	ønsked vinkel	54	shardpwm	62	tid delat	0.001005
vinkel	5.720000	error	48.280000	ønsked vinkel	54	shardpwm	83	tid delat	0.008000
vinkel	7.430000	error	46.570000	ønsked vinkel	54	shardpwm	-86	tid delat	0.000996
vinkel	7.710000	error	46.290000	ønsked vinkel	54	shardpwm	56	tid delat	0.001005
vinkel	7.970000	error	50.030000	ønsked vinkel	58	shardpwm	190	tid delat	0.000994
vinkel	8.320000	error	49.680000	ønsked vinkel	58	shardpwm	84	tid delat	0.007003
vinkel	10.020000	error	47.980000	ønsked vinkel	58	shardpwm	-82	tid delat	0.000998
vinkel	10.300000	error	47.700000	ønsked vinkel	58	shardpwm	59	tid delat	0.001005
vinkel	10.570000	error	47.430000	ønsked vinkel	58	shardpwm	82	tid delat	0.006006
vinkel	12.230000	error	45.770000	ønsked vinkel	58	shardpwm	-81	tid delat	0.000999
vinkel	12.560000	error	45.440000	ønsked vinkel	58	shardpwm	51	tid delat	0.001017
vinkel	12.740000	error	45.260000	ønsked vinkel	58	shardpwm	81	tid delat	0.006972
vinkel	14.740000	error	43.260000	ønsked vinkel	58	shardpwm	-116	tid delat	0.001009
vinkel	15.040000	error	42.960000	ønsked vinkel	58	shardpwm	50	tid delat	0.001000
vinkel	15.450000	error	42.550000	ønsked vinkel	58	shardpwm	72	tid delat	0.004998
vinkel	16.750000	error	41.250000	ønsked vinkel	58	shardpwm	-51	tid delat	0.000997
vinkel	16.980000	error	41.020000	ønsked vinkel	58	shardpwm	55	tid delat	0.001005
vinkel	17.400000	error	40.600000	ønsked vinkel	58	shardpwm	70	tid delat	0.005996
vinkel	19.100000	error	38.900000	ønsked vinkel	58	shardpwm	-94	tid delat	0.001001
vinkel	19.459999	error	38.540001	ønsked vinkel	58	shardpwm	40	tid delat	0.001035
vinkel	19.799999	error	38.200001	ønsked vinkel	58	shardpwm	68	tid delat	0.005960
vinkel	21.540001	error	36.459999	ønsked vinkel	58	shardpwm	-100	tid delat	0.001010
vinkel	21.850000	error	36.150000	ønsked vinkel	58	shardpwm	41	tid delat	0.001011
vinkel	22.219999	error	35.780001	ønsked vinkel	58	shardpwm	65	tid delat	0.005981
vinkel	24.059999	error	33.940001	ønsked vinkel	58	shardpwm	-114	tid delat	0.001004
vinkel	24.270000	error	33.730000	ønsked vinkel	58	shardpwm	47	tid delat	0.000995
vinkel	24.540001	error	33.459999	ønsked vinkel	58	shardpwm	63	tid delat	0.006011
vinkel	26.330000	error	31.670000	ønsked vinkel	58	shardpwm	-114	tid delat	0.000995
vinkel	26.660000	error	31.340000	ønsked vinkel	58	shardpwm	31	tid delat	0.000994
vinkel	26.990000	error	31.010000	ønsked vinkel	58	shardpwm	58	tid delat	0.005015
vinkel	28.250000	error	29.750000	ønsked vinkel	58	shardpwm	-62	tid delat	0.001004
vinkel	28.549999	error	29.450001	ønsked vinkel	58	shardpwm	32	tid delat	0.000990
vinkel	28.900000	error	29.100000	ønsked vinkel	58	shardpwm	56	tid delat	0.005996
vinkel	30.510000	error	27.490000	ønsked vinkel	58	shardpwm	-102	tid delat	0.000995
vinkel	30.770000	error	27.230000	ønsked vinkel	58	shardpwm	33	tid delat	0.001012
vinkel	31.070000	error	26.930000	ønsked vinkel	58	shardpwm	54	tid delat	0.005995
vinkel	32.220001	error	25.779999	ønsked vinkel	58	shardpwm	-58	tid delat	0.000994
vinkel	32.520000	error	25.480000	ønsked vinkel	58	shardpwm	27	tid delat	0.001004
vinkel	32.700001	error	25.299999	ønsked vinkel	58	shardpwm	53	tid delat	0.006008
vinkel	33.770000	error	24.230000	ønsked vinkel	58	shardpwm	-52	tid delat	0.000989
vinkel	33.930000	error	24.070000	ønsked vinkel	58	shardpwm	39	tid delat	0.001021
vinkel	34.000000	error	27.000000	ønsked vinkel	61	shardpwm	108	tid delat	0.006030
vinkel	34.880001	error	26.119999	ønsked vinkel	61	shardpwm	-33	tid delat	0.000954
vinkel	35.049999	error	25.950001	ønsked vinkel	61	shardpwm	41	tid delat	0.000999
vinkel	35.200001	error	25.799999	ønsked vinkel	61	shardpwm	55	tid delat	0.006007
vinkel	35.730000	error	25.270000	ønsked vinkel	61	shardpwm	3	tid delat	0.000989
vinkel	35.840000	error	25.160000	ønsked vinkel	61	shardpwm	46	tid delat	0.001003
vinkel	35.970001	error	25.029999	ønsked vinkel	61	shardpwm	55	tid delat	0.006022
vinkel	36.849998	error	24.150002	ønsked vinkel	61	shardpwm	-32	tid delat	0.000998
vinkel	36.970001	error	24.029999	ønsked vinkel	61	shardpwm	43	tid delat	0.001016
vinkel	37.040001	error	23.959999	ønsked vinkel	61	shardpwm	54	tid delat	0.005969
vinkel	37.410000	error	23.590000	ønsked vinkel	61	shardpwm	17	tid delat	0.000990
vinkel	37.470001	error	23.529999	ønsked vinkel	61	shardpwm	49	tid delat	0.001006
vinkel	37.500000	error	23.500000	ønsked vinkel	61	shardpwm	54	tid delat	0.004994
vinkel	37.709999	error	23.290001	ønsked vinkel	61	shardpwm	35	tid delat	0.001055
vinkel	37.790001	error	23.209999	ønsked vinkel	61	shardpwm	46	tid delat	0.000973
vinkel	37.810001	error	23.189999	ønsked vinkel	61	shardpwm	54	tid delat	0.005998
