Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	2.900000	i	2.111000	d	0.050000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	0.840000	error	50.160000	ønsked vinkel	51	shardpwm	238	tid delat	0.881854
vinkel	8.000000	error	43.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000014
:(vinkel	14.830000	error	36.170000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000009
vinkel	0.820000	error	50.180000	ønsked vinkel	51	shardpwm	255	tid delat	0.000007
vinkel	84.000000	error	-33.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000006
vinkel	14.840000	error	36.160000	ønsked vinkel	51	shardpwm	255	tid delat	0.000006
vinkel	21.580000	error	29.420000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000006
vinkel	4.820000	error	46.180000	ønsked vinkel	51	shardpwm	255	tid delat	0.000005
vinkel	70.000000	error	-19.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000005
vinkel	2.000000	error	49.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000005
vinkel	14.820000	error	36.180000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000005
vinkel	1.700000	error	49.300000	ønsked vinkel	51	shardpwm	255	tid delat	0.000006
vinkel	0.820000	error	50.180000	ønsked vinkel	51	shardpwm	255	tid delat	0.000005
vinkel	8.000000	error	43.000000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000005
:(vinkel	14.820000	error	36.180000	ønsked vinkel	51	shardpwm	-255	tid delat	0.000058
vinkel	14.820000	error	36.180000	ønsked vinkel	51	shardpwm	198	tid delat	0.000058
vinkel	7.000000	error	44.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.001685
vinkel	14.770000	error	36.230000	ønsked vinkel	51	shardpwm	-186	tid delat	0.001008
vinkel	14.750000	error	36.250000	ønsked vinkel	51	shardpwm	199	tid delat	0.000996
vinkel	14.730000	error	39.270000	ønsked vinkel	54	shardpwm	233	tid delat	0.006006
vinkel	14.720000	error	39.280000	ønsked vinkel	54	shardpwm	208	tid delat	0.000999
vinkel	14.710000	error	39.290000	ønsked vinkel	54	shardpwm	208	tid delat	0.000993
vinkel	14.680000	error	39.320000	ønsked vinkel	54	shardpwm	209	tid delat	0.005999
vinkel	14.530000	error	39.470000	ønsked vinkel	54	shardpwm	216	tid delat	0.001005
vinkel	14.520000	error	39.480000	ønsked vinkel	54	shardpwm	210	tid delat	0.000994
vinkel	14.520000	error	39.480000	ønsked vinkel	54	shardpwm	210	tid delat	0.007010
vinkel	14.390000	error	39.610000	ønsked vinkel	54	shardpwm	217	tid delat	0.000991
vinkel	14.390000	error	39.610000	ønsked vinkel	54	shardpwm	210	tid delat	0.001008
vinkel	14.380000	error	39.620000	ønsked vinkel	54	shardpwm	211	tid delat	0.005999
vinkel	14.430000	error	39.570000	ønsked vinkel	54	shardpwm	208	tid delat	0.000994
vinkel	14.410000	error	39.590000	ønsked vinkel	54	shardpwm	212	tid delat	0.001004
vinkel	14.400000	error	39.600000	ønsked vinkel	54	shardpwm	211	tid delat	0.006002
vinkel	14.370000	error	39.630000	ønsked vinkel	54	shardpwm	213	tid delat	0.000994
vinkel	14.410000	error	39.590000	ønsked vinkel	54	shardpwm	209	tid delat	0.001006
vinkel	14.430000	error	39.570000	ønsked vinkel	54	shardpwm	212	tid delat	0.005991
vinkel	14.640000	error	39.360000	ønsked vinkel	54	shardpwm	201	tid delat	0.001005
vinkel	14.730000	error	39.270000	ønsked vinkel	54	shardpwm	207	tid delat	0.001010
vinkel	14.820000	error	39.180000	ønsked vinkel	54	shardpwm	211	tid delat	0.005985
vinkel	15.370000	error	38.630000	ønsked vinkel	54	shardpwm	183	tid delat	0.001010
vinkel	15.540000	error	38.460000	ønsked vinkel	54	shardpwm	201	tid delat	0.000990
vinkel	15.700000	error	38.300000	ønsked vinkel	54	shardpwm	208	tid delat	0.005996
vinkel	16.709999	error	37.290001	ønsked vinkel	54	shardpwm	156	tid delat	0.001006
vinkel	16.969999	error	37.030001	ønsked vinkel	54	shardpwm	193	tid delat	0.000995
vinkel	17.240000	error	36.760000	ønsked vinkel	54	shardpwm	203	tid delat	0.006003
vinkel	18.790001	error	35.209999	ønsked vinkel	54	shardpwm	124	tid delat	0.001002
vinkel	19.120001	error	34.879999	ønsked vinkel	54	shardpwm	184	tid delat	0.001003
vinkel	19.459999	error	34.540001	ønsked vinkel	54	shardpwm	197	tid delat	0.005990
vinkel	21.410000	error	32.590000	ønsked vinkel	54	shardpwm	97	tid delat	0.001005
vinkel	21.809999	error	32.190001	ønsked vinkel	54	shardpwm	173	tid delat	0.000996
vinkel	22.190001	error	31.809999	ønsked vinkel	54	shardpwm	189	tid delat	0.006000
vinkel	24.480000	error	29.520000	ønsked vinkel	54	shardpwm	72	tid delat	0.001005
vinkel	24.969999	error	29.030001	ønsked vinkel	54	shardpwm	160	tid delat	0.000994
vinkel	25.530001	error	28.469999	ønsked vinkel	54	shardpwm	178	tid delat	0.005006
vinkel	27.620001	error	26.379999	ønsked vinkel	54	shardpwm	72	tid delat	0.000995
vinkel	28.190001	error	25.809999	ønsked vinkel	54	shardpwm	147	tid delat	0.001005
vinkel	28.809999	error	25.190001	ønsked vinkel	54	shardpwm	169	tid delat	0.006025
vinkel	31.760000	error	26.240000	ønsked vinkel	58	shardpwm	231	tid delat	0.000980
vinkel	32.400002	error	25.599998	ønsked vinkel	58	shardpwm	144	tid delat	0.001019
vinkel	33.029999	error	24.970001	ønsked vinkel	58	shardpwm	169	tid delat	0.005989
vinkel	36.330002	error	21.669998	ønsked vinkel	58	shardpwm	-3	tid delat	0.000983
vinkel	37.029999	error	20.970001	ønsked vinkel	58	shardpwm	128	tid delat	0.001005
vinkel	37.689999	error	20.310001	ønsked vinkel	58	shardpwm	155	tid delat	0.006027
vinkel	41.029999	error	16.970001	ønsked vinkel	58	shardpwm	-15	tid delat	0.000999
vinkel	41.720001	error	16.279999	ønsked vinkel	58	shardpwm	114	tid delat	0.000990
vinkel	42.400002	error	15.599998	ønsked vinkel	58	shardpwm	142	tid delat	0.005989
vinkel	45.959999	error	12.040001	ønsked vinkel	58	shardpwm	-41	tid delat	0.000992
vinkel	46.619999	error	11.380001	ønsked vinkel	58	shardpwm	102	tid delat	0.001005
vinkel	47.299999	error	10.700001	ønsked vinkel	58	shardpwm	128	tid delat	0.006007
vinkel	51.000000	error	7.000000	ønsked vinkel	58	shardpwm	-59	tid delat	0.001015
vinkel	51.750000	error	6.250000	ønsked vinkel	58	shardpwm	82	tid delat	0.000982
vinkel	52.490002	error	5.509998	ønsked vinkel	58	shardpwm	112	tid delat	0.005998
vinkel	56.230000	error	1.770000	ønsked vinkel	58	shardpwm	-80	tid delat	0.000994
vinkel	56.980000	error	1.020000	ønsked vinkel	58	shardpwm	68	tid delat	0.001005
vinkel	57.750000	error	0.250000	ønsked vinkel	58	shardpwm	95	tid delat	0.004994
vinkel	60.900002	error	-2.900002	ønsked vinkel	58	shardpwm	-60	tid delat	0.001014
vinkel	61.610001	error	-3.610001	ønsked vinkel	58	shardpwm	56	tid delat	0.000984
vinkel	62.380001	error	-4.380001	ønsked vinkel	58	shardpwm	83	tid delat	0.006006
vinkel	66.300003	error	-8.300003	ønsked vinkel	58	shardpwm	-116	tid delat	0.001004
vinkel	67.099998	error	-9.099998	ønsked vinkel	58	shardpwm	36	tid delat	0.001004
vinkel	67.879997	error	-9.879997	ønsked vinkel	58	shardpwm	67	tid delat	0.005998
vinkel	71.720001	error	-13.720001	ønsked vinkel	58	shardpwm	-130	tid delat	0.000991
vinkel	72.459999	error	-14.459999	ønsked vinkel	58	shardpwm	25	tid delat	0.001044
vinkel	73.250000	error	-15.250000	ønsked vinkel	58	shardpwm	50	tid delat	0.004953
vinkel	76.410004	error	-18.410004	ønsked vinkel	58	shardpwm	-107	tid delat	0.001012
vinkel	77.190002	error	-19.190002	ønsked vinkel	58	shardpwm	7	tid delat	0.000996
vinkel	77.949997	error	-19.949997	ønsked vinkel	58	shardpwm	36	tid delat	0.004993
vinkel	81.019997	error	-23.019997	ønsked vinkel	58	shardpwm	-117	tid delat	0.001006
vinkel	81.779999	error	-23.779999	ønsked vinkel	58	shardpwm	25	tid delat	0.005022
vinkel	84.779999	error	-26.779999	ønsked vinkel	58	shardpwm	-128	tid delat	0.000986
vinkel	85.510002	error	-27.510002	ønsked vinkel	58	shardpwm	14	tid delat	0.004985
vinkel	88.260002	error	-30.260002	ønsked vinkel	58	shardpwm	-122	tid delat	0.001007
vinkel	88.930000	error	-30.930000	ønsked vinkel	58	shardpwm	-21	tid delat	0.000996
vinkel	89.639999	error	-31.639999	ønsked vinkel	58	shardpwm	2	tid delat	0.005002
vinkel	92.480003	error	-34.480003	ønsked vinkel	58	shardpwm	-141	tid delat	0.000996
vinkel	93.160004	error	-32.160004	ønsked vinkel	61	shardpwm	30	tid delat	0.005009
vinkel	95.779999	error	-34.779999	ønsked vinkel	61	shardpwm	-130	tid delat	0.001007
vinkel	96.400002	error	-35.400002	ønsked vinkel	61	shardpwm	-33	tid delat	0.000994
vinkel	96.970001	error	-35.970001	ønsked vinkel	61	shardpwm	-9	tid delat	0.005009
vinkel	99.269997	error	-38.269997	ønsked vinkel	61	shardpwm	-126	tid delat	0.000998
vinkel	99.790001	error	-38.790001	ønsked vinkel	61	shardpwm	-19	tid delat	0.004004
vinkel	101.330002	error	-40.330002	ønsked vinkel	61	shardpwm	-94	tid delat	0.000992
vinkel	101.769997	error	-40.769997	ønsked vinkel	61	shardpwm	-23	tid delat	0.004995
vinkel	103.519997	error	-42.519997	ønsked vinkel	61	shardpwm	-109	tid delat	0.001030
vinkel	103.919998	error	-42.919998	ønsked vinkel	61	shardpwm	-30	tid delat	0.003992
vinkel	105.089996	error	-44.089996	ønsked vinkel	61	shardpwm	-87	tid delat	0.001009
vinkel	105.400002	error	-44.400002	ønsked vinkel	61	shardpwm	-33	tid delat	0.005038
vinkel	106.610001	error	-45.610001	ønsked vinkel	61	shardpwm	-95	tid delat	0.000985
vinkel	106.889999	error	-45.889999	ønsked vinkel	61	shardpwm	-38	tid delat	0.003961
vinkel	107.629997	error	-46.629997	ønsked vinkel	61	shardpwm	-75	tid delat	0.000982
vinkel	107.870003	error	-46.870003	ønsked vinkel	61	shardpwm	-41	tid delat	0.005001
