Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	5.900000	i	2.711000	d	0.000000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	2.630000	error	48.370000	ønsked vinkel	51	shardpwm	255	tid delat	0.078810
vinkel	62.000000	error	-11.000000	ønsked vinkel	51	shardpwm	-54	tid delat	0.000019
:(vinkel	0.500000	error	50.500000	ønsked vinkel	51	shardpwm	255	tid delat	0.000017
vinkel	0.000000	error	51.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000010
vinkel	2.610000	error	48.390000	ønsked vinkel	51	shardpwm	255	tid delat	0.000010
vinkel	0.630000	error	50.370000	ønsked vinkel	51	shardpwm	255	tid delat	0.000010
vinkel	3.000000	error	48.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000010
vinkel	9.500000	error	41.500000	ønsked vinkel	51	shardpwm	255	tid delat	0.000010
vinkel	50.000000	error	1.000000	ønsked vinkel	51	shardpwm	16	tid delat	0.000010
vinkel	2.620000	error	48.380000	ønsked vinkel	51	shardpwm	255	tid delat	0.000009
vinkel	2.610000	error	48.390000	ønsked vinkel	51	shardpwm	255	tid delat	0.000009
vinkel	63.000000	error	-12.000000	ønsked vinkel	51	shardpwm	-60	tid delat	0.000009
:(vinkel	0.380000	error	50.620000	ønsked vinkel	51	shardpwm	255	tid delat	0.000013
vinkel	0.000000	error	51.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000067
vinkel	2.620000	error	48.380000	ønsked vinkel	51	shardpwm	255	tid delat	0.000009
vinkel	2.620000	error	48.380000	ønsked vinkel	51	shardpwm	255	tid delat	0.000043
vinkel	0.000000	error	51.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000870
vinkel	3.850000	error	50.150000	ønsked vinkel	54	shardpwm	255	tid delat	0.008005
vinkel	5.890000	error	48.110000	ønsked vinkel	54	shardpwm	255	tid delat	0.001007
vinkel	6.150000	error	47.850000	ønsked vinkel	54	shardpwm	255	tid delat	0.001008
vinkel	6.470000	error	47.530000	ønsked vinkel	54	shardpwm	255	tid delat	0.001006
vinkel	6.750000	error	47.250000	ønsked vinkel	54	shardpwm	255	tid delat	0.006970
vinkel	8.490000	error	45.510000	ønsked vinkel	54	shardpwm	255	tid delat	0.000995
vinkel	8.740000	error	45.260000	ønsked vinkel	54	shardpwm	255	tid delat	0.001005
vinkel	9.020000	error	44.980000	ønsked vinkel	54	shardpwm	255	tid delat	0.000994
vinkel	9.320000	error	44.680000	ønsked vinkel	54	shardpwm	255	tid delat	0.007020
vinkel	11.050000	error	42.950000	ønsked vinkel	54	shardpwm	255	tid delat	0.001020
vinkel	11.330000	error	42.670000	ønsked vinkel	54	shardpwm	255	tid delat	0.000974
vinkel	11.620000	error	42.380000	ønsked vinkel	54	shardpwm	255	tid delat	0.005989
vinkel	13.010000	error	40.990000	ønsked vinkel	54	shardpwm	255	tid delat	0.001014
vinkel	13.300000	error	40.700000	ønsked vinkel	54	shardpwm	255	tid delat	0.000987
vinkel	13.630000	error	40.370000	ønsked vinkel	54	shardpwm	254	tid delat	0.006009
vinkel	15.060000	error	38.940000	ønsked vinkel	54	shardpwm	245	tid delat	0.001007
vinkel	15.350000	error	38.650000	ønsked vinkel	54	shardpwm	244	tid delat	0.001005
vinkel	15.640000	error	38.360000	ønsked vinkel	54	shardpwm	243	tid delat	0.005981
vinkel	17.080000	error	36.920000	ønsked vinkel	54	shardpwm	234	tid delat	0.000996
vinkel	17.070000	error	36.930000	ønsked vinkel	54	shardpwm	234	tid delat	0.001008
vinkel	17.010000	error	36.990000	ønsked vinkel	54	shardpwm	235	tid delat	0.006001
vinkel	17.010000	error	36.990000	ønsked vinkel	54	shardpwm	235	tid delat	0.000996
vinkel	16.959999	error	37.040001	ønsked vinkel	54	shardpwm	236	tid delat	0.000995
vinkel	16.860001	error	37.139999	ønsked vinkel	54	shardpwm	237	tid delat	0.006000
vinkel	16.840000	error	37.160000	ønsked vinkel	54	shardpwm	237	tid delat	0.001011
vinkel	16.879999	error	37.120001	ønsked vinkel	54	shardpwm	237	tid delat	0.000988
vinkel	16.850000	error	37.150000	ønsked vinkel	54	shardpwm	238	tid delat	0.007006
vinkel	16.879999	error	37.120001	ønsked vinkel	54	shardpwm	238	tid delat	0.000994
vinkel	16.879999	error	37.120001	ønsked vinkel	54	shardpwm	238	tid delat	0.001010
vinkel	16.820000	error	37.180000	ønsked vinkel	54	shardpwm	239	tid delat	0.006004
vinkel	16.990000	error	37.010000	ønsked vinkel	54	shardpwm	238	tid delat	0.000997
vinkel	17.049999	error	36.950001	ønsked vinkel	54	shardpwm	238	tid delat	0.001003
vinkel	17.110001	error	36.889999	ønsked vinkel	54	shardpwm	238	tid delat	0.005999
vinkel	17.820000	error	36.180000	ønsked vinkel	54	shardpwm	234	tid delat	0.000995
vinkel	17.959999	error	36.040001	ønsked vinkel	54	shardpwm	233	tid delat	0.001010
vinkel	18.090000	error	35.910000	ønsked vinkel	54	shardpwm	233	tid delat	0.004992
vinkel	18.940001	error	35.059999	ønsked vinkel	54	shardpwm	228	tid delat	0.001006
vinkel	19.160000	error	34.840000	ønsked vinkel	54	shardpwm	227	tid delat	0.000995
vinkel	19.400000	error	38.600000	ønsked vinkel	58	shardpwm	250	tid delat	0.006016
vinkel	20.879999	error	37.120001	ønsked vinkel	58	shardpwm	241	tid delat	0.000998
vinkel	21.160000	error	36.840000	ønsked vinkel	58	shardpwm	239	tid delat	0.000985
vinkel	21.520000	error	36.480000	ønsked vinkel	58	shardpwm	238	tid delat	0.006009
vinkel	23.559999	error	34.440001	ønsked vinkel	58	shardpwm	226	tid delat	0.000994
vinkel	24.010000	error	33.990000	ønsked vinkel	58	shardpwm	223	tid delat	0.001004
vinkel	24.530001	error	33.469999	ønsked vinkel	58	shardpwm	221	tid delat	0.006029
vinkel	27.430000	error	30.570000	ønsked vinkel	58	shardpwm	204	tid delat	0.000970
vinkel	27.990000	error	30.010000	ønsked vinkel	58	shardpwm	201	tid delat	0.001007
vinkel	28.549999	error	29.450001	ønsked vinkel	58	shardpwm	198	tid delat	0.005998
vinkel	31.770000	error	26.230000	ønsked vinkel	58	shardpwm	179	tid delat	0.000989
vinkel	32.459999	error	25.540001	ønsked vinkel	58	shardpwm	175	tid delat	0.001005
vinkel	33.160000	error	24.840000	ønsked vinkel	58	shardpwm	171	tid delat	0.006001
vinkel	36.919998	error	21.080002	ønsked vinkel	58	shardpwm	149	tid delat	0.001004
vinkel	37.639999	error	20.360001	ønsked vinkel	58	shardpwm	145	tid delat	0.000997
vinkel	38.410000	error	19.590000	ønsked vinkel	58	shardpwm	141	tid delat	0.006004
vinkel	42.360001	error	15.639999	ønsked vinkel	58	shardpwm	117	tid delat	0.000990
vinkel	43.110001	error	14.889999	ønsked vinkel	58	shardpwm	113	tid delat	0.001010
vinkel	43.919998	error	14.080002	ønsked vinkel	58	shardpwm	108	tid delat	0.005995
vinkel	48.099998	error	9.900002	ønsked vinkel	58	shardpwm	84	tid delat	0.000996
vinkel	48.970001	error	9.029999	ønsked vinkel	58	shardpwm	79	tid delat	0.006006
vinkel	53.470001	error	4.529999	ønsked vinkel	58	shardpwm	52	tid delat	0.001000
vinkel	54.369999	error	3.630001	ønsked vinkel	58	shardpwm	47	tid delat	0.000991
vinkel	55.270000	error	2.730000	ønsked vinkel	58	shardpwm	42	tid delat	0.006000
vinkel	59.830002	error	-1.830002	ønsked vinkel	58	shardpwm	15	tid delat	0.001008
vinkel	60.759998	error	-2.759998	ønsked vinkel	58	shardpwm	9	tid delat	0.000996
vinkel	61.669998	error	-3.669998	ønsked vinkel	58	shardpwm	4	tid delat	0.006000
vinkel	66.040001	error	-8.040001	ønsked vinkel	58	shardpwm	-21	tid delat	0.001005
vinkel	66.949997	error	-8.949997	ønsked vinkel	58	shardpwm	-26	tid delat	0.000993
vinkel	67.940002	error	-9.940002	ønsked vinkel	58	shardpwm	-32	tid delat	0.006003
vinkel	72.480003	error	-14.480003	ønsked vinkel	58	shardpwm	-59	tid delat	0.001007
vinkel	73.440002	error	-15.440002	ønsked vinkel	58	shardpwm	-65	tid delat	0.004999
vinkel	77.139999	error	-19.139999	ønsked vinkel	58	shardpwm	-87	tid delat	0.000993
vinkel	78.059998	error	-20.059998	ønsked vinkel	58	shardpwm	-93	tid delat	0.005003
vinkel	81.809998	error	-23.809998	ønsked vinkel	58	shardpwm	-115	tid delat	0.001000
vinkel	82.730003	error	-24.730003	ønsked vinkel	58	shardpwm	-120	tid delat	0.001002
vinkel	83.639999	error	-22.639999	ønsked vinkel	61	shardpwm	-108	tid delat	0.004996
vinkel	87.290001	error	-26.290001	ønsked vinkel	61	shardpwm	-130	tid delat	0.001047
vinkel	88.209999	error	-27.209999	ønsked vinkel	61	shardpwm	-136	tid delat	0.004961
vinkel	91.699997	error	-30.699997	ønsked vinkel	61	shardpwm	-156	tid delat	0.000999
vinkel	92.540001	error	-31.540001	ønsked vinkel	61	shardpwm	-162	tid delat	0.004991
vinkel	95.779999	error	-34.779999	ønsked vinkel	61	shardpwm	-181	tid delat	0.001006
vinkel	96.519997	error	-35.519997	ønsked vinkel	61	shardpwm	-185	tid delat	0.000999
vinkel	97.279999	error	-36.279999	ønsked vinkel	61	shardpwm	-190	tid delat	0.005016
vinkel	100.129997	error	-39.129997	ønsked vinkel	61	shardpwm	-207	tid delat	0.000980
vinkel	100.790001	error	-39.790001	ønsked vinkel	61	shardpwm	-212	tid delat	0.005006
vinkel	103.239998	error	-42.239998	ønsked vinkel	61	shardpwm	-226	tid delat	0.000996
vinkel	103.809998	error	-42.809998	ønsked vinkel	61	shardpwm	-230	tid delat	0.003995
vinkel	105.419998	error	-44.419998	ønsked vinkel	61	shardpwm	-240	tid delat	0.001006
vinkel	105.879997	error	-44.879997	ønsked vinkel	61	shardpwm	-243	tid delat	0.005013
vinkel	107.769997	error	-46.769997	ønsked vinkel	61	shardpwm	-254	tid delat	0.000996
vinkel	108.180000	error	-47.180000	ønsked vinkel	61	shardpwm	-255	tid delat	0.004997
vinkel	109.639999	error	-48.639999	ønsked vinkel	61	shardpwm	-255	tid delat	0.000998
vinkel	109.980003	error	-48.980003	ønsked vinkel	61	shardpwm	-255	tid delat	0.003995
vinkel	110.849998	error	-49.849998	ønsked vinkel	61	shardpwm	-255	tid delat	0.001007
vinkel	111.110001	error	-50.110001	ønsked vinkel	61	shardpwm	-255	tid delat	0.004999
