Enter the serial port of the morteren (default /dev/ttyACM0 ):Enter the serial port of the vinke (default /dev/ttyACM1 ):p	1.900000	i	5.711000	d	0.000000	min	-255.000000	max	255.000000
starter om 10 sek
starter om 9 sek
starter om 8 sek
starter om 7 sek
starter om 6 sek
starter om 5 sek
starter om 4 sek
starter om 3 sek
starter om 2 sek
starter om 1 sek
vinkel	7.000000	error	44.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.744982
:(vinkel	52.529999	error	-1.529999	ønsked vinkel	51	shardpwm	184	tid delat	0.000013
vinkel	0.470000	error	50.530000	ønsked vinkel	51	shardpwm	255	tid delat	0.000004
vinkel	54.000000	error	-3.000000	ønsked vinkel	51	shardpwm	181	tid delat	0.000003
vinkel	52.540001	error	-1.540001	ønsked vinkel	51	shardpwm	184	tid delat	0.000003
vinkel	59.349998	error	-8.349998	ønsked vinkel	51	shardpwm	171	tid delat	0.000003
vinkel	2.550000	error	48.450000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	47.000000	error	4.000000	ønsked vinkel	51	shardpwm	194	tid delat	0.000003
vinkel	6.000000	error	45.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	52.549999	error	-1.549999	ønsked vinkel	51	shardpwm	184	tid delat	0.000003
vinkel	9.350000	error	41.650000	ønsked vinkel	51	shardpwm	255	tid delat	0.000002
vinkel	0.550000	error	50.450000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
vinkel	5.000000	error	46.000000	ønsked vinkel	51	shardpwm	255	tid delat	0.000003
:(vinkel	52.549999	error	-1.549999	ønsked vinkel	51	shardpwm	184	tid delat	0.000053
vinkel	0.470000	error	50.530000	ønsked vinkel	51	shardpwm	255	tid delat	0.004962
vinkel	46.740002	error	4.259998	ønsked vinkel	51	shardpwm	196	tid delat	0.001005
vinkel	46.009998	error	7.990002	ønsked vinkel	54	shardpwm	203	tid delat	0.000993
vinkel	45.360001	error	8.639999	ønsked vinkel	54	shardpwm	205	tid delat	0.006008
vinkel	41.639999	error	12.360001	ønsked vinkel	54	shardpwm	212	tid delat	0.001011
vinkel	40.869999	error	13.130001	ønsked vinkel	54	shardpwm	214	tid delat	0.000984
vinkel	40.119999	error	13.880001	ønsked vinkel	54	shardpwm	215	tid delat	0.005994
vinkel	36.439999	error	17.560001	ønsked vinkel	54	shardpwm	223	tid delat	0.001007
vinkel	35.700001	error	18.299999	ønsked vinkel	54	shardpwm	224	tid delat	0.000995
vinkel	34.959999	error	19.040001	ønsked vinkel	54	shardpwm	226	tid delat	0.006000
vinkel	31.270000	error	22.730000	ønsked vinkel	54	shardpwm	233	tid delat	0.001005
vinkel	30.520000	error	23.480000	ønsked vinkel	54	shardpwm	235	tid delat	0.000994
vinkel	29.790001	error	24.209999	ønsked vinkel	54	shardpwm	237	tid delat	0.006007
vinkel	26.340000	error	27.660000	ønsked vinkel	54	shardpwm	244	tid delat	0.001005
vinkel	25.680000	error	28.320000	ønsked vinkel	54	shardpwm	245	tid delat	0.000989
vinkel	25.010000	error	28.990000	ønsked vinkel	54	shardpwm	248	tid delat	0.007002
vinkel	21.320000	error	32.680000	ønsked vinkel	54	shardpwm	255	tid delat	0.000995
vinkel	20.780001	error	33.219999	ønsked vinkel	54	shardpwm	255	tid delat	0.006000
vinkel	18.110001	error	35.889999	ønsked vinkel	54	shardpwm	255	tid delat	0.001004
vinkel	18.160000	error	35.840000	ønsked vinkel	54	shardpwm	255	tid delat	0.001004
vinkel	18.440001	error	35.559999	ønsked vinkel	54	shardpwm	255	tid delat	0.006004
vinkel	19.910000	error	34.090000	ønsked vinkel	54	shardpwm	255	tid delat	0.000988
vinkel	20.250000	error	33.750000	ønsked vinkel	54	shardpwm	255	tid delat	0.001005
vinkel	20.590000	error	33.410000	ønsked vinkel	54	shardpwm	255	tid delat	0.005994
vinkel	22.389999	error	31.610001	ønsked vinkel	54	shardpwm	255	tid delat	0.001005
vinkel	22.780001	error	31.219999	ønsked vinkel	54	shardpwm	255	tid delat	0.001016
vinkel	23.240000	error	30.760000	ønsked vinkel	54	shardpwm	255	tid delat	0.005999
vinkel	25.680000	error	28.320000	ønsked vinkel	54	shardpwm	252	tid delat	0.000983
vinkel	26.200001	error	27.799999	ønsked vinkel	54	shardpwm	252	tid delat	0.001004
vinkel	26.740000	error	27.260000	ønsked vinkel	54	shardpwm	252	tid delat	0.006001
vinkel	29.820000	error	24.180000	ønsked vinkel	54	shardpwm	246	tid delat	0.000997
vinkel	30.500000	error	23.500000	ønsked vinkel	54	shardpwm	245	tid delat	0.001003
vinkel	31.209999	error	22.790001	ønsked vinkel	54	shardpwm	244	tid delat	0.004994
vinkel	33.930000	error	20.070000	ønsked vinkel	54	shardpwm	239	tid delat	0.001005
vinkel	34.650002	error	19.349998	ønsked vinkel	54	shardpwm	238	tid delat	0.001010
vinkel	35.349998	error	18.650002	ønsked vinkel	54	shardpwm	237	tid delat	0.005985
vinkel	39.220001	error	14.779999	ønsked vinkel	54	shardpwm	230	tid delat	0.001000
vinkel	40.000000	error	14.000000	ønsked vinkel	54	shardpwm	228	tid delat	0.001006
vinkel	40.790001	error	17.209999	ønsked vinkel	58	shardpwm	235	tid delat	0.005998
vinkel	44.779999	error	13.220001	ønsked vinkel	58	shardpwm	227	tid delat	0.000995
vinkel	45.580002	error	12.419998	ønsked vinkel	58	shardpwm	226	tid delat	0.001026
vinkel	46.450001	error	11.549999	ønsked vinkel	58	shardpwm	225	tid delat	0.005985
vinkel	50.970001	error	7.029999	ønsked vinkel	58	shardpwm	216	tid delat	0.001027
vinkel	51.830002	error	6.169998	ønsked vinkel	58	shardpwm	215	tid delat	0.000988
vinkel	52.740002	error	5.259998	ønsked vinkel	58	shardpwm	213	tid delat	0.005984
vinkel	57.529999	error	0.470001	ønsked vinkel	58	shardpwm	204	tid delat	0.000992
vinkel	58.509998	error	-0.509998	ønsked vinkel	58	shardpwm	202	tid delat	0.001009
vinkel	59.540001	error	-1.540001	ønsked vinkel	58	shardpwm	200	tid delat	0.005999
vinkel	64.610001	error	-6.610001	ønsked vinkel	58	shardpwm	190	tid delat	0.000998
vinkel	65.599998	error	-7.599998	ønsked vinkel	58	shardpwm	188	tid delat	0.001007
vinkel	66.620003	error	-8.620003	ønsked vinkel	58	shardpwm	186	tid delat	0.004991
vinkel	70.699997	error	-12.699997	ønsked vinkel	58	shardpwm	178	tid delat	0.001011
vinkel	71.739998	error	-13.739998	ønsked vinkel	58	shardpwm	176	tid delat	0.004988
vinkel	75.889999	error	-17.889999	ønsked vinkel	58	shardpwm	168	tid delat	0.001009
vinkel	76.970001	error	-18.970001	ønsked vinkel	58	shardpwm	166	tid delat	0.004989
vinkel	81.250000	error	-23.250000	ønsked vinkel	58	shardpwm	157	tid delat	0.001018
vinkel	82.309998	error	-24.309998	ønsked vinkel	58	shardpwm	155	tid delat	0.001000
vinkel	83.349998	error	-25.349998	ønsked vinkel	58	shardpwm	152	tid delat	0.004989
vinkel	87.529999	error	-29.529999	ønsked vinkel	58	shardpwm	144	tid delat	0.000994
vinkel	88.570000	error	-30.570000	ønsked vinkel	58	shardpwm	141	tid delat	0.005012
vinkel	92.500000	error	-34.500000	ønsked vinkel	58	shardpwm	134	tid delat	0.000988
vinkel	93.449997	error	-35.449997	ønsked vinkel	58	shardpwm	132	tid delat	0.001009
vinkel	94.389999	error	-36.389999	ønsked vinkel	58	shardpwm	129	tid delat	0.004989
vinkel	97.870003	error	-39.870003	ønsked vinkel	58	shardpwm	122	tid delat	0.001008
vinkel	98.669998	error	-40.669998	ønsked vinkel	58	shardpwm	119	tid delat	0.004999
vinkel	101.660004	error	-43.660004	ønsked vinkel	58	shardpwm	113	tid delat	0.001002
vinkel	102.309998	error	-44.309998	ønsked vinkel	58	shardpwm	111	tid delat	0.004993
vinkel	104.860001	error	-46.860001	ønsked vinkel	58	shardpwm	106	tid delat	0.001005
vinkel	105.440002	error	-47.440002	ønsked vinkel	58	shardpwm	103	tid delat	0.004996
vinkel	107.489998	error	-49.489998	ønsked vinkel	58	shardpwm	99	tid delat	0.001016
vinkel	107.970001	error	-49.970001	ønsked vinkel	58	shardpwm	97	tid delat	0.003990
vinkel	109.300003	error	-51.300003	ønsked vinkel	58	shardpwm	94	tid delat	0.001002
vinkel	109.699997	error	-51.699997	ønsked vinkel	58	shardpwm	92	tid delat	0.005002
vinkel	111.070000	error	-53.070000	ønsked vinkel	58	shardpwm	89	tid delat	0.000990
vinkel	111.360001	error	-53.360001	ønsked vinkel	58	shardpwm	87	tid delat	0.005005
vinkel	112.269997	error	-51.269997	ønsked vinkel	61	shardpwm	91	tid delat	0.000996
vinkel	112.419998	error	-51.419998	ønsked vinkel	61	shardpwm	89	tid delat	0.004005
vinkel	112.870003	error	-51.870003	ønsked vinkel	61	shardpwm	88	tid delat	0.001001
vinkel	112.959999	error	-51.959999	ønsked vinkel	61	shardpwm	87	tid delat	0.004996
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	86	tid delat	0.001002
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	84	tid delat	0.005005
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	84	tid delat	0.000993
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	83	tid delat	0.003999
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	83	tid delat	0.001003
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	81	tid delat	0.004993
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	81	tid delat	0.001015
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	79	tid delat	0.004992
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	79	tid delat	0.001007
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	78	tid delat	0.003996
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	78	tid delat	0.001008
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	76	tid delat	0.004982
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	76	tid delat	0.001013
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	74	tid delat	0.005023
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	74	tid delat	0.000986
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	73	tid delat	0.003992
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	72	tid delat	0.000997
vinkel	113.160004	error	-52.160004	ønsked vinkel	61	shardpwm	72	tid delat	0.001005
